u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,from,to,grade,grade_abs,flood_count,flood_any,flood_duration_h,Mean Shortest Path Length,Closeness,Eigenvector,bet,Degree,Subgraph Centrality,Pagerank,junction,ref,bridge,tunnel,access,width,elevation,highway_code
582438,260686562,0,24036992,True,2.0,Alameda Olga,tertiary,40.0,False,84.63,"LINESTRING (-46.6619198 -23.528187, -46.6619614 -23.5282042, -46.661975 -23.5282151, -46.6624501 -23.5286493, -46.6625161 -23.5287127)",582438,260686562,0.035,0.035,0,False,0.0,26.522033509295387,0.037700172642819746,1.9242001550724546e-10,0.011829538511202912,5,10.887056752135823,0.00012183063240214768,,,,,,,729.5,9
582438,260685848,0,244739161,True,3.0,Avenida Mário de Andrade,tertiary,,False,142.764,"LINESTRING (-46.6619198 -23.528187, -46.6615708 -23.5284889, -46.6614736 -23.528578, -46.6613965 -23.5286641, -46.6613274 -23.5287526, -46.661147 -23.5290025, -46.6610833 -23.5290867, -46.6610223 -23.5291642)",582438,260685848,0.035,0.035,0,False,0.0,26.6388570117053,0.037534840241070774,8.82013061250818e-11,0.006610233788137864,6,17.160078803839358,0.00012970844877677504,,,,,,,730.5,9
582438,2283841569,0,246510580,True,3.0,Rua Barra Funda,tertiary,,False,28.22,"LINESTRING (-46.6616469 -23.5281446, -46.6618254 -23.528171, -46.6619198 -23.528187)",2283841569,582438,0.0,0.0,0,False,0.0,26.93516180858389,0.03712193189128851,6.998567899760936e-11,0.01287372680730442,6,16.679163176448274,0.00013431097463138467,,,,,,,728.0,9
582438,2540005278,0,934452672,True,3.0,Avenida Mário de Andrade,tertiary,,False,22.065,"LINESTRING (-46.6620757 -23.5280499, -46.6619993 -23.5281255, -46.6619198 -23.528187)",2540005278,582438,-0.091,0.091,0,False,0.0,27.06311682350241,0.03694641857625049,7.384805518729201e-11,0.007486591494174465,5,11.568528824142978,0.00011674951125719495,,,,,,,727.0,9
582442,2348890859,0,8371450,True,1.0,,trunk_link,,False,192.649,"LINESTRING (-46.656999 -23.5172984, -46.6567918 -23.5173998, -46.6567086 -23.5174447, -46.656598 -23.5175037, -46.6564907 -23.5175676, -46.6563807 -23.5176396, -46.6563251 -23.517682, -46.6562674 -23.5177343, -46.6559818 -23.518054, -46.6558711 -23.5181819, -46.6557933 -23.5182821, -46.6557437 -23.5183614, -46.6557102 -23.5184254, -46.6556777 -23.5184859)",582442,2348890859,0.047,0.047,0,False,0.0,32.47716318567822,0.030787333130746344,6.282551081684398e-15,0.0010147266621366256,4,6.289136449190898,0.00010931601008318482,,,,,,,722.5,12
582442,1964865727,0,"[248695611, 934418350, 934415319]",True,3.0,Avenida Presidente Castelo Branco (Local),trunk,60.0,False,236.762,"LINESTRING (-46.656999 -23.5172984, -46.6565298 -23.5173673, -46.6562547 -23.5174078, -46.6558688 -23.5174555, -46.6557021 -23.5174717, -46.6555446 -23.5174828, -46.6552227 -23.5174969, -46.6550906 -23.5175018, -46.6549779 -23.5175135, -46.6548814 -23.517535, -46.6547902 -23.5175701, -46.6547113 -23.5176042)",582442,1964865727,0.013,0.013,0,False,0.0,32.68579297681891,0.030590820998230486,2.785993554164901e-15,0.0006312847551278666,4,6.0546057150461206,0.00011268450869490027,,,,,,,719.5,11
582442,1490115459,0,"[934415320, 934415321]",True,4.0,Avenida Presidente Castelo Branco (Local),trunk,60.0,False,488.504,"LINESTRING (-46.6617519 -23.5167462, -46.6604684 -23.5168778, -46.6597161 -23.5169602, -46.6591313 -23.5170327, -46.656999 -23.5172984)",1490115459,582442,0.002,0.002,1,True,0.5,32.517328436997936,0.030749304761501433,1.6873017830823552e-15,0.001295241706896276,4,5.9629134547493186,0.00011845760286601116,,,,,,,718.5,11
587972,6076848285,0,"[646945026, 646945028, 935864894]",True,4.0,Avenida Olavo Fontoura,primary,40.0,False,196.03199999999998,"LINESTRING (-46.6303459 -23.5139479, -46.6304331 -23.5140353, -46.6304914 -23.5140943, -46.6305859 -23.5141576, -46.6306496 -23.5141822, -46.6307144 -23.5141924, -46.6307777 -23.5141957, -46.6308515 -23.5141902, -46.6309393 -23.5141822, -46.6310775 -23.5141687, -46.6314443 -23.5141406, -46.6317992 -23.5141233, -46.6321651 -23.5141032)",587972,6076848285,0.036,0.036,0,False,0.0,34.02352536148726,0.029388055221076563,5.361697126587607e-18,0.0016090584703897359,4,6.292657795806991,0.00011537172689810696,,,,,,,723.5,4
587972,148523921,0,968009065,True,4.0,Praça Campo de Bagatelle,trunk,50.0,False,86.855,"LINESTRING (-46.6303459 -23.5139479, -46.6304383 -23.5141238, -46.6304901 -23.5143133, -46.630499 -23.5145084, -46.6304648 -23.5147011)",587972,148523921,0.081,0.081,0,False,0.0,33.0647234335552,0.03024024211629634,1.863043227125499e-17,0.0011529697138179973,4,6.247257761970821,0.00011445997381040327,circular,,,,,,723.5,11
587972,1709028277,0,320124172,True,4.0,Praça Campo de Bagatelle,trunk,50.0,False,90.405,"LINESTRING (-46.6296329 -23.5135037, -46.629846 -23.5135597, -46.6300415 -23.5136555, -46.6302106 -23.5137869, -46.6303459 -23.5139479)",1709028277,587972,0.022,0.022,0,False,0.0,34.0263943080101,0.02938557735762514,1.0816284213794217e-17,0.002420575400819864,4,5.886070358613032,0.0001163394701768028,circular,,,,,,721.0,11
