SEQ;LONG;LAT;LOCAL_ED;LOCALIZACA;REFERENCIA;DATA;MES;H_INICIO;H_FIM;DURACAO;DUR_H
1.000000;-46.406760;-23.498280;R MANUEL B DE LIMA;RUA MANUEL B DE LIMA;SEM NUMERO-AMBOS-IT;01/01/2019;1.000000;16:12:00;17:30:00;01:18:00;1.30
2.000000;-46.457200;-23.528865;AV JACU PESSEGO;AV JACU PESSEGO N TRABALHADORES;R MONTANHAS - MAUA/A SENNA;01/01/2019;1.000000;16:25:00;17:23:00;00:58:00;0.97
3.000000;-46.752870;-23.402870;R CRISPIM DO AMARAL;R CRISPIM DO AMARAL;ALTURA DO NUMERO 102-CENTROBAIRRO-PR;01/01/2019;1.000000;17:16:00;22:29:00;05:13:00;5.22
4.000000;-46.753120;-23.403920;PC INACIO DIAS;P├ç INACIO DIAS;R CRISPIM DO AMARAL-AMBOS-PR;01/01/2019;1.000000;17:33:00;22:29:00;04:56:00;4.93
5.000000;-46.750699;-23.407361;R FRANCIS DE CASTELNAU;RUA FRANCIS DE CASTELNAU;ALTURA DO NUMERO 10-AMBOS-PR;01/01/2019;1.000000;18:01:00;22:29:00;04:28:00;4.47
6.000000;-46.455945;-23.518399;AV JACU PESSEGO;AV JACU PESSEGO N TRABALHADORES;R RAINHA-DA-NOITE - A SENNA/MAUA;01/01/2019;1.000000;18:20:00;18:26:00;00:06:00;0.10
7.000000;-46.638806;-23.549408;PC DA BANDEIRA;PC DA BANDEIRA;AV VINTE E TRES DE MAIO-CENTROBAIRRO-SE;01/01/2019;1.000000;18:34:00;19:23:00;00:49:00;0.82
8.000000;-46.735020;-23.407600;AV RAIMUNDO PEREIRA DE MAGALHAES;AV RAIMUNDO PEREIRA DE MAGALHAES;ALTURA DO NUMERO 16271-CENTROBAIRRO-PR;01/01/2019;1.000000;19:04:00;21:09:00;02:05:00;2.08
9.000000;-46.577164;-23.552376;AV SALIM FARAH MALUF;AV SALIM FARAH MALUF;R DEMETRIO RIBEIRO-MARGINALV PRUDENTE - EXPRESSA-MO;01/01/2019;1.000000;19:19:00;19:32:00;00:13:00;0.22
10.000000;-46.457200;-23.528865;AV JACU PESSEGO;AV JACU PESSEGO N TRABALHADORES;R MONTANHAS - MAUA/A SENNA;01/01/2019;1.000000;19:21:00;17:23:00;23/01/1900 22:02:00;22.03
11.000000;-46.733321;-23.544698;AV DAS NACOES UNIDAS;AV DAS NACOES UNIDAS;AV QUEIROZ FILHO-INTERLAGOSCASTELO-PI;01/01/2019;1.000000;19:52:00;21:00:00;01:08:00;1.13
12.000000;-46.452184;-23.572219;AV ADRIANO BERTOZZI;AV ADRIANO BERTOZZI;ALTURA DO NUMERO 125-CENTRO/BAIRRO-IQ;02/01/2019;1.000000;15:05:00;15:22:00;00:17:00;0.28
13.000000;-46.638580;-23.548910;PC DA BANDEIRA;PC DA BANDEIRA;ALTURA DO NUMERO 27-CENTROBAIRRO-SE;03/01/2019;1.000000;17:27:00;17:42:00;00:15:00;0.25
14.000000;-46.638240;-23.550330;AV VINTE E TRES DE MAIO;AV VINTE E TRES DE MAIO LIBERDADE;PC DA BANDEIRA-SANTANAAEROPORTO-SE;03/01/2019;1.000000;19:43:00;20:18:00;00:35:00;0.58
15.000000;-46.634830;-23.542110;TUN PAPA JOAO PAULO II;TN PAPA JOAO PAULO II REPUBLICA;AV PRESTES MAIA-SANTANAAEROPORTO-SE;03/01/2019;1.000000;19:52:00;20:04:00;00:12:00;0.20
16.000000;-46.669230;-23.515480;AV PRES CASTELO BRANCO;AV PRES CASTELO BRANCO BARRA FUNDA;VD ENG JOAO BIRMAN-CASTELO BA SENNA-SE;03/01/2019;1.000000;19:56:00;21:00:00;01:04:00;1.07
17.000000;-46.698830;-23.618490;MARGINAL PINHEIROS;MARGINAL PINHEIROS;PONTE DO MORUMBI-CAST BINT - EXP-SA;04/01/2019;1.000000;14:25:00;15:25:00;01:00:00;1.00
18.000000;-46.695020;-23.580860;AV MAGALHAES DE CASTRO;AV MAGALHAES DE CASTRO;PTE DO MORUMBI CAIO POMPEU DE TOLEDO-CASTELOINTERLAGOS - LOCAL-CL;04/01/2019;1.000000;14:26:00;15:25:00;00:59:00;0.98
19.000000;-46.706150;-23.662130;PC DOM FRANCISCO DE SOUSA;PC DOM FRANCISCO DE SOUSA;AV VITOR MANZINI-CENTROBAIRRO-MB;04/01/2019;1.000000;14:26:00;16:31:00;02:05:00;2.08
20.000000;-46.722899;-23.652303;AV DAS NACOES UNIDAS;AV DAS NACOES UNIDAS;PTE TRANSAMERICA-INTERLAGOSCASTELO - LOCAL-SA;04/01/2019;1.000000;14:34:00;15:27:00;00:53:00;0.88
21.000000;-46.627560;-23.619960;PC LEONOR KAUPA;P├ç LEONOR KAUPA;AV ABRA├âO DE MORAIS-AMBOS-IP;04/01/2019;1.000000;14:34:00;15:18:00;00:44:00;0.73
22.000000;-46.629470;-23.540356;R DA CANTAREIRA;R DA CANTAREIRA;AV MERCURIO-BAIRROCENTRO-SE;04/01/2019;1.000000;14:45:00;15:03:00;00:18:00;0.30
23.000000;-46.691575;-23.625838;AV ROQUE PETRONI JUNIOR;AV ROQUE PETRONI JUNIOR;R CANCIONEIRO POPULAR-AMBOS-SA;04/01/2019;1.000000;14:47:00;15:03:00;00:16:00;0.27
24.000000;-46.629270;-23.626890;AV PROF ABRAAO DE MORAIS;AV PROF ABRAAO DE MORAIS;R ELISA SILVEIRA  AV MIGUEL ESTEFNO-AMBOS-MG;04/01/2019;1.000000;14:48:00;15:19:00;00:31:00;0.52
25.000000;-46.629470;-23.626540;AV FAGUNDES FILHO;AV FAGUNDES FILHO;AV PROF ABRAAO DE MORAIS-CENTROBAIRRO-MG;04/01/2019;1.000000;14:55:00;15:21:00;00:26:00;0.43
26.000000;-46.596891;-23.527593;MARGINAL TIETE;MARGINAL TIETE;PTE PRES JANIO QUADROS-CASTELO BA SENNA - CENTRAL-MO;04/01/2019;1.000000;14:59:00;15:22:00;00:23:00;0.38
27.000000;-46.627800;-23.620740;AV PROF ABRAAO DE MORAIS;AV PROF ABRAAO DE MORAIS;R IBIRAREMA  R RIBEIRO LACERDA-S PAULOSANTOS-MG;04/01/2019;1.000000;15:02:00;15:19:00;00:17:00;0.28
28.000000;-46.627560;-23.539260;R PAULA SOUSA;R PAULA SOUSA;AV DO ESTADO-AMBOS - LOCAL-SE;04/01/2019;1.000000;15:04:00;15:53:00;00:49:00;0.82
29.000000;-46.599860;-23.508780;R CHICO PONTES;R CHICO PONTES;ALTURA DO NUMERO 1349-UNICO-MG;04/01/2019;1.000000;15:11:00;15:54:00;00:43:00;0.72
30.000000;-46.693457;-23.594522;MARGINAL PINHEIROS;MARGINAL PINHEIROS;PTE ENG ARY TORRES-INTERLAGOSCASTELO - EXPRESSA-PI;04/01/2019;1.000000;15:15:00;15:33:00;00:18:00;0.30
31.000000;-46.674654;-23.519358;PC PASCOAL MARTINS;PC PASCOAL MARTINS;AV MARQ DE SAO VICENTE-BAIRROCENTRO-LA;04/01/2019;1.000000;15:53:00;18:49:00;02:56:00;2.93
32.000000;-46.627042;-23.543123;AV MERCURIO;AV MERCURIO;PC S VITO-UNICO-SE;04/01/2019;1.000000;15:56:00;17:56:00;02:00:00;2.00
