gid,id,length,dir,municipio,distrito,bairro,nomesigla,tipo,nometit,nomeprep,name,start_left,end_left,start_righ,end_right,parity,left_zip,right_zip,cep_e,cep_d,extensao_m,nome_caps,onibus_msp,dist_cen_m,dist_cen_d,cdlog_cem,grau,grau_in,grau_out,coef_aglom
1,8961,79.8200000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,REGO FREITAS,191,269,192,270,0,1220,1220,01220010,01220010,79,R REGO FREITAS,1,1406.62000000,500.730000000,REP00212,6,6,6,0.40
2,8962,115.420000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,GAL,,JARDIM,215,319,216,320,0,1223,1223,01223011,01223010,115,R GAL JARDIM,0,1436.66000000,500.730000000,REP00213,6,6,6,0.40
3,8963,98.2900000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,REGO FREITAS,271,365,272,366,0,1220,1220,01220010,01220010,98,R REGO FREITAS,1,1436.66000000,483.610000000,REP00194,6,6,6,0.40
4,8964,108.560000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,MJ,,SERTORIO,159,263,158,264,0,1222,1222,01222001,01222000,108,R MJ SERTORIO,1,1306.57000000,431.330000000,REP00158,6,6,6,0.40
5,8965,72.1300000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,BENTO FREITAS,1,63,2,64,0,1220,1220,01220000,01220000,72,R BENTO FREITAS,0,1279.85000000,431.330000000,REP00157,5,5,5,0.40
6,8966,78.8500000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,BENTO FREITAS,65,147,66,148,0,1220,1220,01220000,01220000,78,R BENTO FREITAS,0,1306.57000000,396.830000000,REP00128,6,6,6,0.40
7,8967,109.100000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,GAL,,JARDIM,105,213,106,214,0,1223,1223,01223011,01223010,109,R GAL JARDIM,0,1338.09000000,396.830000000,REP00129,6,6,6,0.40
8,8968,108.290000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,MQ,DE,ITU,111,215,110,216,0,1223,1223,01223001,01223000,108,R MQ DE ITU,1,1384.84000000,375.870000000,REP00108,6,6,6,0.40
9,8969,98.1600000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,BENTO FREITAS,149,241,150,242,0,1220,1220,01220000,01220000,98,R BENTO FREITAS,0,1338.09000000,375.870000000,REP00107,6,6,6,0.40
10,211815,127.770000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,CAP,,SALOMAO,1,125,2,126,0,1034,1034,01034020,01034020,127,R CAP SALOMAO,1,865.810000000,439.780000000,REP00161,7,7,7,0.52
