osmid,y,x,highway,street_count,elevation,ref,geometry
582438,-23.528187,-46.6619198,traffic_signals,4,728.0,,POINT (-46.6619198 -23.528187)
582442,-23.5172984,-46.656999,,3,718.0,,POINT (-46.656999 -23.5172984)
587972,-23.5139479,-46.6303459,,3,720.0,,POINT (-46.6303459 -23.5139479)
587976,-23.5135798,-46.6290079,,3,726.0,,POINT (-46.6290079 -23.5135798)
587983,-23.5153989,-46.6292745,,3,722.0,,POINT (-46.6292745 -23.5153989)
587993,-23.55821,-46.6382561,,3,768.0,,POINT (-46.6382561 -23.55821)
597269,-23.5689779,-46.608044,traffic_signals,4,726.0,,POINT (-46.608044 -23.5689779)
597270,-23.5685427,-46.6078851,traffic_signals,4,730.0,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,,3,726.0,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,traffic_signals,4,726.0,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,,3,725.0,,POINT (-46.6253024 -23.5252524)
20944547,-23.5321244,-46.6587483,traffic_signals,4,751.0,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,traffic_signals,4,758.0,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,traffic_signals,4,759.0,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,,3,756.0,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,,4,754.0,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,,3,753.0,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,traffic_signals,4,762.0,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,traffic_signals,4,795.0,,POINT (-46.6552234 -23.5477074)
25777841,-23.5161817,-46.6664136,,3,726.0,,POINT (-46.6664136 -23.5161817)
25777903,-23.5179454,-46.651398,,3,719.0,,POINT (-46.651398 -23.5179454)
25777904,-23.5177511,-46.6508919,,3,718.0,,POINT (-46.6508919 -23.5177511)
25777913,-23.518581,-46.6469816,,3,719.0,,POINT (-46.6469816 -23.518581)
25777925,-23.5207514,-46.6433446,,3,725.0,,POINT (-46.6433446 -23.5207514)
25777928,-23.5208924,-46.6426901,,3,725.0,,POINT (-46.6426901 -23.5208924)
25777939,-23.5193276,-46.6344226,,3,720.0,,POINT (-46.6344226 -23.5193276)
25777943,-23.5197443,-46.6361611,,3,726.0,,POINT (-46.6361611 -23.5197443)
25777946,-23.5194442,-46.6326351,motorway_junction,3,715.0,,POINT (-46.6326351 -23.5194442)
25777974,-23.5192517,-46.6329128,motorway_junction,3,716.0,,POINT (-46.6329128 -23.5192517)
25777984,-23.5196667,-46.6315649,motorway_junction,3,722.0,,POINT (-46.6315649 -23.5196667)
25777990,-23.5198591,-46.6306778,,3,734.0,,POINT (-46.6306778 -23.5198591)
25777992,-23.5199059,-46.629684,,3,731.0,,POINT (-46.629684 -23.5199059)
25777997,-23.5198746,-46.6285394,,3,722.0,,POINT (-46.6285394 -23.5198746)
25778039,-23.5199594,-46.626918,,3,725.0,,POINT (-46.626918 -23.5199594)
25778049,-23.5200626,-46.6225851,,3,722.0,,POINT (-46.6225851 -23.5200626)
25778062,-23.5196729,-46.6207637,,3,724.0,,POINT (-46.6207637 -23.5196729)
25783236,-23.518172,-46.6201099,,3,720.0,,POINT (-46.6201099 -23.518172)
25783239,-23.5182538,-46.6214121,,3,719.0,,POINT (-46.6214121 -23.5182538)
25783434,-23.5181272,-46.6302111,,3,724.0,,POINT (-46.6302111 -23.5181272)
25783456,-23.5183522,-46.6316749,,3,724.0,,POINT (-46.6316749 -23.5183522)
25783549,-23.5155883,-46.6492872,,3,722.0,,POINT (-46.6492872 -23.5155883)
25783581,-23.5158888,-46.6560042,motorway_junction,3,718.0,,POINT (-46.6560042 -23.5158888)
25783748,-23.5152893,-46.6623517,motorway_junction,3,715.0,,POINT (-46.6623517 -23.5152893)
25870718,-23.5646175,-46.6111634,traffic_signals,4,730.0,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,traffic_signals,4,730.0,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,traffic_signals,4,730.0,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,,3,734.0,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,,3,735.0,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,,3,729.0,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,traffic_signals,4,723.0,,POINT (-46.6257308 -23.5519102)
25871833,-23.5522727,-46.6256216,,3,727.0,,POINT (-46.6256216 -23.5522727)
25872025,-23.5501074,-46.6266488,,3,721.0,,POINT (-46.6266488 -23.5501074)
25872075,-23.5481997,-46.6286296,,3,728.0,,POINT (-46.6286296 -23.5481997)
25872212,-23.5461204,-46.6301486,,3,733.0,,POINT (-46.6301486 -23.5461204)
25872232,-23.5444987,-46.6297656,,3,729.0,,POINT (-46.6297656 -23.5444987)
25872236,-23.5448929,-46.630562,,4,718.0,,POINT (-46.630562 -23.5448929)
25872254,-23.5428224,-46.6291191,,3,717.0,,POINT (-46.6291191 -23.5428224)
25872258,-23.5438876,-46.6294514,,3,740.0,,POINT (-46.6294514 -23.5438876)
25872264,-23.5436253,-46.6297566,traffic_signals,5,732.0,,POINT (-46.6297566 -23.5436253)
25872274,-23.5394006,-46.6271577,traffic_signals,4,727.0,,POINT (-46.6271577 -23.5394006)
25872723,-23.5332714,-46.6254827,,3,733.0,,POINT (-46.6254827 -23.5332714)
25872726,-23.5330563,-46.6255492,,3,732.0,,POINT (-46.6255492 -23.5330563)
25872749,-23.5320811,-46.6259967,traffic_signals,4,724.0,,POINT (-46.6259967 -23.5320811)
25872763,-23.5316319,-46.6257805,crossing,4,716.0,,POINT (-46.6257805 -23.5316319)
25872766,-23.5325264,-46.6252806,,3,726.0,,POINT (-46.6252806 -23.5325264)
25875892,-23.5287456,-46.6312713,,3,738.0,,POINT (-46.6312713 -23.5287456)
25875912,-23.52485,-46.6297992,,3,727.0,,POINT (-46.6297992 -23.52485)
25875921,-23.5217505,-46.6343656,motorway_junction,3,727.0,,POINT (-46.6343656 -23.5217505)
25875933,-23.5216281,-46.6364197,,3,719.0,,POINT (-46.6364197 -23.5216281)
25875949,-23.5210108,-46.6371232,motorway_junction,3,721.0,,POINT (-46.6371232 -23.5210108)
25875960,-23.5216195,-46.636985,,3,726.0,,POINT (-46.636985 -23.5216195)
25876382,-23.5178779,-46.6300507,,3,725.0,,POINT (-46.6300507 -23.5178779)
25876402,-23.5208216,-46.6303373,,3,729.0,,POINT (-46.6303373 -23.5208216)
25876404,-23.5200054,-46.6301737,,3,735.0,,POINT (-46.6301737 -23.5200054)
25876428,-23.5201771,-46.629157,,3,722.0,,POINT (-46.629157 -23.5201771)
25876617,-23.5200141,-46.6302842,,3,735.0,,POINT (-46.6302842 -23.5200141)
25908565,-23.523301,-46.6307945,,3,740.0,,POINT (-46.6307945 -23.523301)
25908745,-23.5236755,-46.6309494,,3,735.0,,POINT (-46.6309494 -23.5236755)
25927014,-23.5254031,-46.6312275,,3,726.0,,POINT (-46.6312275 -23.5254031)
25927015,-23.5266085,-46.6313508,,3,728.0,,POINT (-46.6313508 -23.5266085)
25927018,-23.5264105,-46.6310338,,3,732.0,,POINT (-46.6310338 -23.5264105)
25927315,-23.5275121,-46.6314845,,3,730.0,,POINT (-46.6314845 -23.5275121)
25927318,-23.5279337,-46.6312772,,3,729.0,,POINT (-46.6312772 -23.5279337)
25927493,-23.5287215,-46.6315981,traffic_signals,4,733.0,,POINT (-46.6315981 -23.5287215)
25928248,-23.530254,-46.6317405,,3,738.0,,POINT (-46.6317405 -23.530254)
25928388,-23.534495,-46.6330324,,3,739.0,,POINT (-46.6330324 -23.534495)
25928438,-23.5352466,-46.6337902,,3,737.0,,POINT (-46.6337902 -23.5352466)
25928439,-23.5352713,-46.6331286,,3,748.0,,POINT (-46.6331286 -23.5352713)
25928614,-23.5353759,-46.6331246,,3,745.0,,POINT (-46.6331246 -23.5353759)
25928755,-23.5414269,-46.6341307,,4,732.0,,POINT (-46.6341307 -23.5414269)
25928842,-23.5468966,-46.6376955,,3,748.0,,POINT (-46.6376955 -23.5468966)
25928939,-23.5495812,-46.6385465,,3,750.0,,POINT (-46.6385465 -23.5495812)
25928961,-23.5481572,-46.6387749,,3,741.0,,POINT (-46.6387749 -23.5481572)
25928964,-23.5493388,-46.6387877,,3,738.0,,POINT (-46.6387877 -23.5493388)
25929039,-23.5548213,-46.6371573,,3,751.0,,POINT (-46.6371573 -23.5548213)
25929410,-23.5579874,-46.6385024,,3,766.0,,POINT (-46.6385024 -23.5579874)
25929413,-23.5588307,-46.6388251,,3,761.0,,POINT (-46.6388251 -23.5588307)
25929414,-23.5590528,-46.6385968,,3,767.0,,POINT (-46.6385968 -23.5590528)
25929616,-23.5659574,-46.6408524,,3,782.0,,POINT (-46.6408524 -23.5659574)
25947658,-23.568647,-46.6399922,traffic_signals,4,809.0,,POINT (-46.6399922 -23.568647)
25947790,-23.5787505,-46.6462972,,3,796.0,,POINT (-46.6462972 -23.5787505)
26359148,-23.5162011,-46.6298159,,4,736.0,,POINT (-46.6298159 -23.5162011)
26359231,-23.5691303,-46.607751,,3,726.0,,POINT (-46.607751 -23.5691303)
26359247,-23.5681322,-46.609198,,3,731.0,,POINT (-46.609198 -23.5681322)
26592447,-23.5872215,-46.6196156,,3,745.0,,POINT (-46.6196156 -23.5872215)
26592460,-23.583796,-46.6175201,,3,733.0,,POINT (-46.6175201 -23.583796)
26592462,-23.5831283,-46.6155653,traffic_signals,3,730.0,,POINT (-46.6155653 -23.5831283)
26592470,-23.5810431,-46.6138458,,3,729.0,,POINT (-46.6138458 -23.5810431)
26592471,-23.5803305,-46.6148222,,4,744.0,,POINT (-46.6148222 -23.5803305)
26592472,-23.5794879,-46.6159419,,4,741.0,,POINT (-46.6159419 -23.5794879)
28143671,-23.5575046,-46.6666865,,3,814.0,,POINT (-46.6666865 -23.5575046)
28149737,-23.5604226,-46.6719491,traffic_signals,4,779.0,,POINT (-46.6719491 -23.5604226)
28149740,-23.5590001,-46.6691461,,3,799.0,,POINT (-46.6691461 -23.5590001)
28149747,-23.5573377,-46.6669452,,3,816.0,,POINT (-46.6669452 -23.5573377)
28149749,-23.5568356,-46.665513,,3,826.0,,POINT (-46.665513 -23.5568356)
28149750,-23.5565416,-46.6644781,,3,823.0,,POINT (-46.6644781 -23.5565416)
28149752,-23.5560463,-46.663226,,3,819.0,,POINT (-46.663226 -23.5560463)
28149754,-23.5566879,-46.665737,,3,825.0,,POINT (-46.665737 -23.5566879)
28149758,-23.55595,-46.6634004,,3,818.0,,POINT (-46.6634004 -23.55595)
28149783,-23.5540326,-46.6607945,traffic_signals,4,817.0,,POINT (-46.6607945 -23.5540326)
28800606,-23.5555227,-46.6838855,,4,790.0,,POINT (-46.6838855 -23.5555227)
28800673,-23.5589494,-46.6814622,,3,775.0,,POINT (-46.6814622 -23.5589494)
28800694,-23.5556171,-46.6840478,,3,788.0,,POINT (-46.6840478 -23.5556171)
40257921,-23.5742731,-46.6538185,,3,765.0,,POINT (-46.6538185 -23.5742731)
40257931,-23.5729954,-46.6526858,traffic_signals,4,781.0,,POINT (-46.6526858 -23.5729954)
60609606,-23.5555479,-46.6670465,,3,821.0,,POINT (-46.6670465 -23.5555479)
60609607,-23.5558834,-46.6663412,,3,823.0,,POINT (-46.6663412 -23.5558834)
60609610,-23.5558786,-46.6651596,,3,823.0,,POINT (-46.6651596 -23.5558786)
60609643,-23.5564177,-46.6618937,traffic_signals,4,828.0,,POINT (-46.6618937 -23.5564177)
60609673,-23.5590271,-46.6592946,,3,832.0,,POINT (-46.6592946 -23.5590271)
60609692,-23.5620718,-46.655882,traffic_signals,4,832.0,,POINT (-46.655882 -23.5620718)
60609697,-23.561954,-46.655767,traffic_signals,3,831.0,,POINT (-46.655767 -23.561954)
60609753,-23.5637843,-46.6576459,traffic_signals,4,809.0,,POINT (-46.6576459 -23.5637843)
60609766,-23.5629117,-46.6567507,traffic_signals,4,821.0,,POINT (-46.6567507 -23.5629117)
60609796,-23.5626748,-46.6589131,traffic_signals,4,825.0,,POINT (-46.6589131 -23.5626748)
60609797,-23.5618125,-46.6580167,traffic_signals,4,830.0,,POINT (-46.6580167 -23.5618125)
60609803,-23.5735877,-46.6403313,traffic_signals,4,813.0,,POINT (-46.6403313 -23.5735877)
60609811,-23.5721836,-46.6430488,,3,821.0,,POINT (-46.6430488 -23.5721836)
60609819,-23.5716121,-46.643782,traffic_signals,3,823.0,,POINT (-46.643782 -23.5716121)
60609822,-23.5712522,-46.6442094,traffic_signals,4,827.0,,POINT (-46.6442094 -23.5712522)
60609866,-23.5713665,-46.6443028,traffic_signals,4,829.0,,POINT (-46.6443028 -23.5713665)
60609874,-23.5733496,-46.6425871,traffic_signals,4,820.0,,POINT (-46.6425871 -23.5733496)
60609946,-23.5772305,-46.640929,traffic_signals,4,828.0,,POINT (-46.640929 -23.5772305)
60609947,-23.5771818,-46.6407586,traffic_signals,3,823.0,,POINT (-46.6407586 -23.5771818)
60609955,-23.5763799,-46.6410022,traffic_signals,4,823.0,,POINT (-46.6410022 -23.5763799)
60609957,-23.5748993,-46.6416984,traffic_signals,4,819.0,,POINT (-46.6416984 -23.5748993)
