district,n_edges,n_flooded,events_matched,events_in_polygon,mean_degree
BARRA FUNDA,753,21,73,75,4.375830013280212
ITAIM BIBI,2178,22,66,69,4.6597796143250685
SE,484,25,62,66,4.489669421487603
REPUBLICA,617,21,55,57,4.954619124797407
SANTANA,2335,16,51,53,4.226124197002141
VILA LEOPOLDINA,818,18,37,37,4.301955990220049
BELEM,829,14,36,41,4.400482509047045
MOEMA,1670,16,32,32,4.8
ITAQUERA,3220,14,31,32,4.432919254658385
SANTO AMARO,2493,18,31,35,4.522262334536703
VILA PRUDENTE,1941,22,30,30,4.599175682637815
CAMPO GRANDE,2082,15,28,31,4.277137367915466
PINHEIROS,1839,17,28,28,4.473083197389886
SANTA CECILIA,619,17,27,27,4.98546042003231
PERDIZES,1261,5,25,25,4.614591593973037
MORUMBI,1802,12,24,33,4.262486126526082
BOM RETIRO,672,19,24,24,4.619047619047619
CARRAO,1905,6,22,23,4.566404199475065
LIMAO,1439,6,21,24,4.26129256428075
CURSINO,1837,9,18,18,4.4534567229178
BRAS,596,8,18,22,4.508389261744966
JARDIM SAO LUIS,3002,11,17,17,4.128914057295137
JAGUARA,650,6,16,18,4.218461538461538
LAPA,1729,11,15,15,4.465008675534992
VILA GUILHERME,1167,9,15,16,4.359897172236503
CASA VERDE,1485,6,15,18,4.36026936026936
SAUDE,2031,10,14,14,4.612998522895126
PERUS,1267,7,14,14,4.011838989739542
TATUAPE,1570,6,12,12,4.422929936305732
VILA MATILDE,2056,9,12,12,4.627918287937743
BUTANTA,1826,6,12,17,4.281489594742607
JARDIM PAULISTA,985,8,11,11,4.882233502538071
JARDIM HELENA,1938,7,11,11,4.603199174406605
BELA VISTA,445,7,11,11,4.51685393258427
ALTO DE PINHEIROS,1616,5,10,14,4.4263613861386135
IPIRANGA,2120,6,10,14,4.596698113207547
PEDREIRA,1650,7,10,10,3.923030303030303
AGUA RASA,1671,3,8,11,4.4356672651107125
MOOCA,1242,2,8,8,4.495169082125604
CIDADE DUTRA,3571,3,8,8,4.233548025763092
LIBERDADE,576,4,7,7,4.461805555555555
JAGUARE,874,5,7,7,4.163615560640732
PIRITUBA,2693,4,6,6,4.200148533234311
PENHA,2332,3,6,7,4.292024013722127
PARELHEIROS,4215,5,6,6,3.8948991696322657
VILA MARIA,2090,4,6,11,4.500956937799043
CAMPO BELO,1809,6,6,7,4.679933665008292
CAMBUCI,691,5,6,7,4.458755426917511
JARAGUA,2258,5,5,5,3.9614703277236494
VILA SONIA,1847,4,5,5,4.216567406605306
CIDADE ADEMAR,2639,2,2,5,4.220159151193634
JACANA,1588,1,1,8,4.178211586901763
