design_d1,district,metric,n_edges_d1,n_flooded_d1,p_MWU_d1,rank_biserial_d1,CI_low_d1,CI_high_d1,se_d1,p_BH_d1,design_d2,n_edges_d2,n_flooded_d2,p_MWU_d2,rank_biserial_d2,CI_low_d2,CI_high_d2,se_d2,p_BH_d2
design1,BARRA FUNDA,Degree,280,8,0.8777335814299607,0.030330882352941124,-0.37631760245436563,0.4369793671602479,0.20747371673842183,0.952930017387429,design2,753,21,0.014329887695499416,0.27498048399687747,0.024360366627749708,0.5256006013660053,0.12786740682098355,0.06839264581942903
design1,BARRA FUNDA,Mean shortest path length,280,8,0.03255749475509982,0.4439338235294117,0.03728533872210493,0.8505823083367184,0.20747371673842183,0.18313590799743648,design2,753,21,3.267195883544316e-05,-0.5312256049960968,-0.7818457223652246,-0.2806054876269691,0.12786740682098355,0.0009801587650632947
design1,BARRA FUNDA,Closeness,280,8,0.03255749475509982,-0.4439338235294118,-0.8505823083367186,-0.037285338722105044,0.20747371673842183,0.18313590799743648,design2,753,21,3.267195883544316e-05,0.5312256049960968,0.2806054876269691,0.7818457223652246,0.12786740682098355,0.0009801587650632947
design1,BARRA FUNDA,Betweenness,280,8,0.7015567682002503,0.07996323529411775,-0.326685249513189,0.4866117201014245,0.20747371673842183,0.8769459602503128,design2,753,21,0.007062085917083861,0.3445225084569348,0.09390239108780701,0.5951426258260626,0.12786740682098355,0.03802661647660541
design1,BARRA FUNDA,PageRank,280,8,0.23952391910697735,0.24448529411764697,-0.1621631906896598,0.6511337789249537,0.20747371673842183,0.4821437772560091,design2,753,21,0.007807417651369539,0.34022898776997135,0.08960887040084359,0.5908491051390992,0.12786740682098355,0.039989212360673244
design1,BELA VISTA,Degree,445,7,0.4227256413749497,-0.16144814090019566,-0.5930435317823803,0.2701472499819891,0.220201730041931,0.6571138940883332,design2,445,7,0.4227256413749497,-0.16144814090019566,-0.5930435317823803,0.2701472499819891,0.220201730041931,0.6001119250079721
design1,BELA VISTA,Mean shortest path length,445,7,0.4526784603719629,-0.16568819308545335,-0.597283583967638,0.2659071977967314,0.220201730041931,0.6571138940883332,design2,445,7,0.0968337746949741,-0.36594911937377694,-0.7975445102559617,0.0656462715084078,0.220201730041931,0.20964013078293361
design1,BELA VISTA,Closeness,445,7,0.4526784603719629,0.16568819308545346,-0.2659071977967313,0.5972835839676383,0.220201730041931,0.6571138940883332,design2,445,7,0.0968337746949741,0.36594911937377694,-0.0656462715084078,0.7975445102559617,0.220201730041931,0.20964013078293361
design1,BELA VISTA,Betweenness,445,7,0.17816535771989173,0.29680365296803646,-0.13479173791414828,0.7283990438502213,0.220201730041931,0.4242588632693429,design2,445,7,0.42293602333895175,0.1767775603392041,-0.25481783054298063,0.6083729512213889,0.220201730041931,0.6001119250079721
design1,BELA VISTA,PageRank,445,7,0.4771056491888569,-0.1568819308545336,-0.5884773217367183,0.2747134600276511,0.220201730041931,0.67092981917183,design2,445,7,0.41612256822427485,-0.1793868232224397,-0.6109822141046244,0.25220856765974503,0.220201730041931,0.598532461144505
design1,BOM RETIRO,Degree,672,19,0.43378413505978397,0.09873458531474166,-0.16481939832374753,0.36228856895323086,0.13446631818290267,0.6571138940883332,design2,672,19,0.43378413505978397,0.09873458531474166,-0.16481939832374753,0.36228856895323086,0.13446631818290267,0.6018375314242917
