district,elev_mean,elev_std,orientation_entropy,circuity,dist_river_km
ALTO DE PINHEIROS,753.36,24.441980279838212,3.530304520683332,1.0398041605199209,1.0394837228308522
BARRA FUNDA,730.22,8.016957028698608,3.486968533576798,1.0232746866349043,0.7511262977693063
BELA VISTA,798.1,26.62536384727916,3.510534759858233,1.0259353340943713,4.734824219329442
BELEM,741.19,12.780215178157214,3.492141940581005,1.027510743455049,0.8894735411964851
BOM RETIRO,731.83,8.879251094546207,3.4603483894113447,1.0267776476741193,0.8169215891450524
BRAS,736.2,6.249799996799898,3.518499934623359,1.0228732609735183,2.3721840647434203
BUTANTA,752.11,22.79293530899432,3.537718085240494,1.0471217638205221,1.8517075184405656
CAMBUCI,747.26,20.62310354917513,3.5357936483806607,1.025373042579032,4.486800983597799
CAMPO BELO,767.62,20.26069100499783,3.218790887862173,1.021116552275184,3.5043482218041935
CAMPO GRANDE,750.91,19.647440036808867,3.5692389525747004,1.0381579813058972,3.8502445867829307
CARRAO,760.77,18.01102717781526,3.4347968142435192,1.0233662625499063,3.715928828776156
CASA VERDE,749.49,19.12668031834066,3.55790183841782,1.0328819079799172,1.6982032388098762
CURSINO,788.44,21.383788251850977,3.5517001429270896,1.038410391240822,8.27870923055424
IPIRANGA,750.97,17.541639034024158,3.535774000177267,1.0238751633508698,6.933699955092306
ITAIM BIBI,735.48,7.9905944710015175,3.4253186406997567,1.0225452808297335,1.0782122865627866
ITAQUERA,774.9,17.703954360537647,3.526041365354112,1.0281648182382948,5.567099199150614
JAGUARA,744.57,17.65913644547773,3.5570448858677484,1.0535314337240358,0.8102579400648229
JAGUARE,750.15,19.040680134911145,3.5520514150195086,1.0427635797593846,0.8489084574322233
JARAGUA,875.67,94.38623363605522,3.574377104519492,1.1069348404036294,7.243381602678544
JARDIM HELENA,736.88,4.712281825188303,3.3891007631750174,1.0272996173785631,0.6492280936882759
JARDIM PAULISTA,780.65,33.39592040953505,3.4483745894426225,1.0233525246856214,3.2295039063953146
JARDIM SAO LUIS,758.76,21.92948699810372,3.577068630387789,1.0743671640288222,3.322188408870604
LAPA,750.54,23.063139422030122,3.538163184820904,1.0381905721335818,1.5309924922122429
LIMAO,746.5,18.30546366525579,3.5448357367556946,1.0340663103577277,1.6053929938206384
MOEMA,756.7,9.929249719893239,3.3439840015045124,1.0132436880584852,3.2081017063772594
MORUMBI,762.59,24.62604109474359,3.5505120791847067,1.0425846033498254,1.3046002758939883
PARELHEIROS,780.76,26.836586966304047,3.5645241360113396,1.1018477796803794,19.237782108316207
PEDREIRA,770.46,24.155504548653088,3.5693391845734297,1.0751433848761434,9.054075385119566
PERDIZES,779.08,24.213087370263214,3.487186806534138,1.0327796914916176,2.7572778719736912
PERUS,802.26,73.56719649408967,3.5609673563327666,1.0949832497000924,11.054800874782492
PINHEIROS,752.87,25.04462217722599,3.4998069811269255,1.0300026098486852,1.3479472575958922
REPUBLICA,756.8,13.100381673829201,3.5193821108467764,1.0225367995417083,2.916382900781817
SANTANA,744.93,22.61913128305329,3.556402132802717,1.0338217430060355,2.10766544113024
SANTA CECILIA,745.55,14.30131112870425,3.48026647509924,1.0204277658216596,1.6267745716609685
SANTO AMARO,752.39,20.44548605438374,3.4842401930679743,1.0359286203641318,1.9688251004691057
SAUDE,790.47,18.471846144876803,3.4894908048415765,1.0286773917659913,5.793457785642983
SE,746.62,17.920814713622814,3.5039943076117157,1.0266251899430447,3.156977905302247
TATUAPE,754.65,21.204421708690855,3.3933114569441565,1.032233397784438,1.4089658926534576
VILA GUILHERME,742.6,20.309603639657766,3.5013705408837885,1.0304599150434783,1.4980721184815375
VILA LEOPOLDINA,736.67,12.645991459747234,3.550726822547329,1.0412682406092644,1.2663866574483322
VILA MATILDE,766.44,19.02068347878172,3.507972850351319,1.0191304613161245,4.385908345330249
VILA PRUDENTE,759.07,17.72752379775585,3.55386801551947,1.0232511334819838,7.185854180012202
