,mean_elevation
ALTO DE PINHEIROS,753.36
BARRA FUNDA,730.22
BELA VISTA,798.1
BELEM,741.19
BOM RETIRO,731.83
BRAS,736.2
BUTANTA,752.11
CAMBUCI,747.26
CAMPO BELO,767.62
CAMPO GRANDE,750.91
CARRAO,760.77
CASA VERDE,749.49
CURSINO,788.44
IPIRANGA,750.97
ITAQUERA,774.9
JAGUARA,744.57
JAGUARE,750.15
JARAGUA,875.67
JARDIM HELENA,736.88
JARDIM PAULISTA,780.65
JARDIM SAO LUIS,758.76
LAPA,750.54
LIMAO,746.5
MOEMA,756.7
MORUMBI,762.59
PARELHEIROS,780.76
PEDREIRA,770.46
PERDIZES,779.08
PERUS,802.26
PINHEIROS,752.87
REPUBLICA,756.8
SANTANA,744.93
SANTA CECILIA,745.55
SANTO AMARO,752.39
SAUDE,790.47
SE,746.62
TATUAPE,754.65
VILA GUILHERME,742.6
VILA LEOPOLDINA,736.67
VILA MATILDE,766.44
VILA PRUDENTE,759.07
