u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
25619362,25619554,0,983.1890000000001,0,4,24.472820512820512,0.040851179749381836,4.487786489069996e-05,4.3513613399672655e-11,0.00026261633200292414,ALTO DE PINHEIROS
25619362,1452896103,0,241.45399999999998,0,4,24.79820512820513,0.04031515928572167,0.0007877561217147533,1.0228989494624397e-11,0.00026234137405153066,ALTO DE PINHEIROS
25619554,6498418336,0,577.385,0,4,24.57846153846154,0.040675596728425974,0.0001337360373742859,1.859236594269373e-10,0.0002512333320464447,ALTO DE PINHEIROS
25619554,25619559,0,109.60300000000001,0,4,24.465897435897435,0.04086273934414203,0.0008030145957775913,4.367213646486684e-11,0.0002559842617588821,ALTO DE PINHEIROS
25619559,25619919,0,69.91900000000001,0,4,24.6774358974359,0.0405124581783421,0.0013364628164450449,1.0568093919379223e-11,0.0002533082292252001,ALTO DE PINHEIROS
25619559,25619914,0,394.52899999999994,0,4,24.80025641025641,0.040311824732994904,0.0002381518696866478,1.0422611611858534e-11,0.0002543550965795504,ALTO DE PINHEIROS
25619914,4345292588,0,119.532,0,4,25.00897435897436,0.03997539344850567,0.0061407878458774445,2.549549122693999e-12,0.00025435158236970817,ALTO DE PINHEIROS
25619914,4361883898,0,179.901,0,4,25.01076923076923,0.0399725246560456,0.005934648853146163,2.9763274491665144e-12,0.000250603694861023,ALTO DE PINHEIROS
25619919,1986762861,0,139.681,0,4,24.981025641025642,0.040020117833021986,0.008970786005884985,3.766329984812732e-12,0.0002459813999221032,ALTO DE PINHEIROS
25619919,4665445945,0,35.674,0,4,25.106410256410257,0.03982025225961293,0.010895747223930075,2.739176479968253e-12,0.0002534932230816668,ALTO DE PINHEIROS
25620070,6498418334,0,629.797,0,4,25.16128205128205,0.03973341214116113,0.006811263147344502,1.9204203673033714e-09,0.0002599427399176336,ALTO DE PINHEIROS
25620070,442617043,0,28.572,0,4,25.513589743589744,0.039184748198546775,0.005943624426124303,4.607613929592346e-10,0.00025252438998081653,ALTO DE PINHEIROS
25620070,4424422070,0,17.342,0,4,25.53128205128205,0.03915759450447917,0.003780212152626627,4.5798458410666366e-10,0.0002552535843907521,ALTO DE PINHEIROS
25620151,6498418334,0,216.46800000000005,0,4,24.97051282051282,0.04003696667864661,0.0005726415560053315,2.1706114911247837e-09,0.00026516399238009315,ALTO DE PINHEIROS
25620151,6498418333,0,636.9699999999999,0,3,25.18897435897436,0.03968972993882142,1.4959288296899988e-06,1.8357093652065714e-09,0.00020984832986353883,ALTO DE PINHEIROS
25620151,6498418336,0,585.566,6,4,24.962820512820514,0.04004930409326691,0.00044279493358823964,7.678921385873554e-10,0.00025603422447556073,ALTO DE PINHEIROS
25620160,6498418333,0,217.50100000000003,0,3,25.344102564102563,0.03944679387304992,0.0007718992761200393,7.587956247709773e-09,0.00021182492174977904,ALTO DE PINHEIROS
25620160,181796129,0,606.021,0,4,25.408461538461538,0.039346876166833175,0.005218398129490592,3.375284957956563e-08,0.00026521902311749205,ALTO DE PINHEIROS
25620160,6498418334,0,206.445,1,4,25.116410256410255,0.039804397982726586,0.006153952019578717,7.922858384858755e-09,0.000267379615919432,ALTO DE PINHEIROS
133556751,1986757991,0,54.652,0,4,24.378205128205128,0.041009729161188536,0.048097702103724715,1.744819771049534e-13,0.0002475596380625483,ALTO DE PINHEIROS
133556751,465015309,0,81.634,0,4,24.58051282051282,0.040672202286572645,0.022182530243941116,1.2146777511530068e-13,0.00025068909317073985,ALTO DE PINHEIROS
133556751,1986758034,0,38.863,0,4,24.161025641025642,0.04137835887421998,0.04739401718223854,4.5064587586983726e-13,0.0002443412919140347,ALTO DE PINHEIROS
133556754,133556756,0,20.683,1,6,22.865384615384617,0.04372301654051023,0.0490392397091316,2.2443395401026097e-12,0.0003013423423848063,ALTO DE PINHEIROS
133556754,7894469295,0,115.948,0,5,23.42974358974359,0.042669847662405884,0.04186296992734274,1.3093957807439242e-12,0.0002592790884412727,ALTO DE PINHEIROS
133556754,133556766,0,188.15099999999998,0,6,22.957435897435897,0.043547702548752426,0.017446419569142578,2.878033047549501e-12,0.0003015549710825783,ALTO DE PINHEIROS
133556754,926015557,0,36.148,0,5,23.425897435897436,0.04267685336193781,0.07115834257069385,1.2298964243391247e-12,0.00026754588434361,ALTO DE PINHEIROS
133556756,133556763,0,180.54699999999997,0,6,22.58051282051282,0.04427461845930233,0.018631494388022998,4.2687323163064936e-12,0.00030061058551697576,ALTO DE PINHEIROS
133556756,133556758,0,66.832,0,5,22.77897435897436,0.04388887638172854,0.04684949908823138,1.5631057476597493e-12,0.0002658826951081552,ALTO DE PINHEIROS
133556756,7894469288,0,115.504,0,5,23.11,0.043260215912747285,0.018001409164957568,1.6205093497688842e-12,0.00025900404501323025,ALTO DE PINHEIROS
133556758,8677536771,0,14.128,0,4,23.325641025641026,0.042860283609981314,0.03410747650269791,4.0946105473141015e-13,0.00023452749143261444,ALTO DE PINHEIROS
133556758,8587366424,0,24.343,0,4,22.846410256410255,0.043759329300456784,0.013121090950976917,4.2029107707578807e-13,0.00022952395278987183,ALTO DE PINHEIROS
133556762,8669554977,0,23.962,0,4,23.0525641025641,0.043367999555085926,0.050783791910316074,1.1841600038031794e-12,0.00024080151101824802,ALTO DE PINHEIROS
133556762,8669554980,0,24.592,0,4,23.072820512820513,0.043329925320056896,0.01833918989470157,9.935218532279583e-13,0.0002471074602402965,ALTO DE PINHEIROS
133556762,8669557969,0,42.383,0,4,23.007435897435897,0.043453064226727144,0.06910473147329543,4.3239082157375344e-13,0.00024731960934427954,ALTO DE PINHEIROS
133556763,133556766,0,33.17,0,6,22.693076923076923,0.04405500378518242,0.076364474083781,4.902428577976232e-12,0.00030082321421474775,ALTO DE PINHEIROS
133556763,465015648,0,140.55,0,6,22.536410256410257,0.04436126154826378,0.026777126051450977,1.0286000944370215e-11,0.0003043918610584944,ALTO DE PINHEIROS
133556763,8669554977,0,24.627000000000002,0,5,22.858205128205128,0.04373674941388942,0.08438773876894033,3.861712477860135e-12,0.00026873636973431,ALTO DE PINHEIROS
133556766,133556768,0,69.486,0,5,23.054358974358973,0.04336462318711629,0.07520393249770749,3.0582445844065835e-12,0.0002623492933878482,ALTO DE PINHEIROS
133556766,7302492024,0,141.63799999999998,0,5,23.283076923076923,0.0429386370644465,0.02508164031588033,3.7590543488743586e-12,0.0002630965694325864,ALTO DE PINHEIROS
133556768,465015463,0,179.17000000000002,0,5,23.093589743589742,0.04329095653139399,0.012134675480679332,4.472380378926431e-12,0.00026719820801714226,ALTO DE PINHEIROS
133556768,1986758034,0,63.991,0,4,23.504102564102563,0.04253485479894399,0.08704690185659728,1.5249586796284803e-12,0.00023069160801020148,ALTO DE PINHEIROS
133562724,8677548647,0,6.893,0,7,22.617948717948718,0.04420133771681215,0.0001151865198861299,1.7238756554603332e-12,0.0003186389209303636,ALTO DE PINHEIROS
133562724,5083912504,0,23.165,0,5,22.540769230769232,0.04435268288798644,0.06724319763762919,1.1733538242223679e-12,0.00024331344257607338,ALTO DE PINHEIROS
133562724,8677573467,0,5.861,0,6,22.67102564102564,0.04409785448499723,0.06562310671507493,1.516861868078679e-12,0.0002795364618192266,ALTO DE PINHEIROS
133562724,8677573468,0,14.584,0,5,22.573846153846155,0.04428769395033963,0.0019288506330022845,1.4155833837102341e-12,0.0002467049307838471,ALTO DE PINHEIROS
133562725,8677548644,0,6.758,0,6,22.520256410256412,0.04439308201163625,0.0002202007237303678,9.41962178565514e-13,0.0002882201305738186,ALTO DE PINHEIROS
133562725,465810356,0,292.91499999999996,0,5,22.792564102564103,0.04386270826067881,0.0,7.296605308981872e-13,0.00025224427706776293,ALTO DE PINHEIROS
133562725,8677573467,0,73.189,0,6,22.55205128205128,0.044330494696030835,0.06742959036980857,1.2270406016395309e-12,0.000283198062060194,ALTO DE PINHEIROS
133562725,4658038555,0,38.455000000000005,0,5,23.044358974358975,0.04338344107796557,0.06719831977273849,6.901779675845985e-13,0.00024805340796476275,ALTO DE PINHEIROS
133562728,465810389,0,66.824,0,5,23.060769230769232,0.0433525690205366,0.00904468489007167,1.6262380749430685e-13,0.0002700500845780678,ALTO DE PINHEIROS
133562728,4658038555,0,38.659,0,5,22.813333333333333,0.04382277570471609,0.07662326977131736,3.549556827501007e-13,0.0002597013309379061,ALTO DE PINHEIROS
133562728,4658203503,0,23.137,0,5,23.312564102564103,0.042884325608508675,0.07637225291369538,1.6525401535678525e-13,0.0002718677823859787,ALTO DE PINHEIROS
133562728,465810368,0,101.452,0,5,22.854358974358973,0.043744109859534176,0.008753876325579935,3.131391423114988e-13,0.0002640586672707306,ALTO DE PINHEIROS
133563227,465810430,0,38.776,0,5,24.15871794871795,0.04138231142338594,0.02731326694401187,2.8421337395623563e-13,0.00024874188569228977,ALTO DE PINHEIROS
133563227,206278851,0,44.657,0,6,24.526666666666667,0.0407614945532858,0.025184560219363005,4.844158324680186e-13,0.0002754520055749438,ALTO DE PINHEIROS
133563227,133564408,0,73.39,0,6,24.524358974358975,0.040765330127032255,0.0005226775330936856,4.2777344915207315e-13,0.000280472285996773,ALTO DE PINHEIROS
133563227,133564415,0,66.586,0,6,23.73846153846154,0.0421149276301577,0.0018732020805378165,5.426035072374662e-13,0.0002766375927247044,ALTO DE PINHEIROS
133564408,206278851,0,44.441,0,6,24.72769230769231,0.04043012090669653,0.06820418231782205,4.625101012563254e-13,0.0002773859503387993,ALTO DE PINHEIROS
133564408,8677710964,0,89.21100000000001,0,5,25.28128205128205,0.03954481373672627,0.0686092798449021,2.5247363826661373e-13,0.00025620547655019386,ALTO DE PINHEIROS
133564408,133564420,0,65.872,0,6,24.72051282051282,0.040441862877294885,0.0002261844390491278,4.26678428002672e-13,0.0002824901128208694,ALTO DE PINHEIROS
133564415,206278851,0,44.242,0,6,23.918205128205127,0.041798436980735626,0.06830111850598596,5.773178693134562e-13,0.00027355125706673067,ALTO DE PINHEIROS
133564415,465061385,0,54.772,0,6,22.948974358974358,0.04356375906414454,0.07887075324504361,7.961769980973076e-13,0.0002852863273996727,ALTO DE PINHEIROS
133564415,133564420,0,72.121,0,6,23.915384615384614,0.04180336657017262,0.008930695113249293,5.415043722982823e-13,0.0002786554195488007,ALTO DE PINHEIROS
133564420,8677603478,0,33.011,0,5,24.894358974358973,0.04015944297956493,0.03369819037489472,2.790545588896056e-13,0.00025853405995012547,ALTO DE PINHEIROS
133564420,206278851,0,44.034,0,6,24.723076923076924,0.040437668533499276,0.025066381841817493,4.833452617706973e-13,0.0002774698323990401,ALTO DE PINHEIROS
157190154,292424889,0,11.188,0,5,24.712307692307693,0.04045529062649152,0.02001612611278406,2.9466169836334607e-16,0.0002655995885114089,ALTO DE PINHEIROS
157190154,456813266,0,131.947,0,5,24.755897435897435,0.04038405767079587,0.0177812084412272,8.388971813894795e-16,0.00026503206076193363,ALTO DE PINHEIROS
157192128,2477696764,0,200.938,0,4,26.376410256410256,0.03790294357817786,0.03760136787732187,1.512758399309475e-06,0.00024187094259327208,ALTO DE PINHEIROS
157192128,165482083,0,149.008,0,4,26.26051282051282,0.03807022340259335,0.03254991540522468,2.0819194955812954e-06,0.00023225381852611898,ALTO DE PINHEIROS
157192128,409013524,0,75.577,0,5,26.521538461538462,0.03769553531720711,0.00481479653124023,4.494867033267425e-06,0.0002745875906962071,ALTO DE PINHEIROS
157192133,2477696768,0,36.942,0,4,26.73948717948718,0.03738828583483564,0.033680239228938445,2.7576319951876267e-07,0.00025524502639556626,ALTO DE PINHEIROS
157192133,2477696767,0,41.354,0,4,27.066666666666666,0.03693633952254642,0.0001370270807996039,5.201382567847383e-07,0.0002557899034298628,ALTO DE PINHEIROS
157192133,2477696766,0,349.81199999999995,0,4,26.667692307692306,0.037488942732971806,0.03315756169584476,5.006912796711491e-07,0.000255109970291355,ALTO DE PINHEIROS
157192136,2503314189,0,34.321,0,4,26.16923076923077,0.038203017832647464,0.06827449097281749,2.9171068752690274e-08,0.0002459766529879112,ALTO DE PINHEIROS
