u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
25783549,1964865146,0,97.541,0,6,28.623458282950423,0.034927930515892464,0.004126923412303244,9.852151056395647e-07,0.00027771002833738314,CASA VERDE
25783581,2387001370,0,273.74300000000005,0,4,29.710278113663847,0.03365024582424381,0.006607083232883686,3.458106962641709e-08,0.00023608406098435554,CASA VERDE
25783581,5760872387,0,374.85699999999997,0,4,30.11197097944377,0.03320135246922008,0.003015565604184177,1.0898486809942356e-08,0.00024184920601349138,CASA VERDE
25783581,2350007254,0,54.247,0,4,29.936638452237002,0.03339580573238117,0.0031696901705409093,1.8259296438993347e-08,0.00024204948917011713,CASA VERDE
25783748,1964865730,0,300.645,0,4,31.865296251511488,0.031374513330752946,3.956922305830525e-05,8.536265786221194e-10,0.00024541041740874217,CASA VERDE
25783748,1964865376,0,677.905,0,4,32.2906892382104,0.03096118991626848,0.00016389474488964707,5.4064668216073e-10,0.0002474719571759833,CASA VERDE
25783748,2348890963,0,550.601,0,4,31.834824667472795,0.0314045443150482,0.0005090263015648651,1.0353165768863432e-09,0.0002473197276465158,CASA VERDE
25785158,1964865376,0,249.898,0,4,32.323579201934706,0.030929686214068743,0.0008165426708883609,3.528338733401894e-10,0.0002549039119498413,CASA VERDE
60624766,2386988377,0,46.14,0,4,26.812817412333736,0.03728657629136564,0.005150349613626077,3.6984362795088013e-06,0.00021724490705879882,CASA VERDE
60624766,2386988374,0,88.233,0,4,26.694558645707374,0.0374517584388759,0.052019605817262005,3.442834561701764e-06,0.00022044273709979917,CASA VERDE
60624766,462043020,0,256.60299999999995,0,5,26.107134220072552,0.03829444295202542,0.057416896693307504,1.2819699370587784e-05,0.0002536748482958386,CASA VERDE
151249389,2140736680,0,294.01500000000004,0,4,31.76565900846433,0.031472923693005764,0.04392208184918216,1.66896462880499e-10,0.0002352909557683409,CASA VERDE
151250496,2390252516,0,37.207,0,4,31.28899637243047,0.03195238831349513,0.0016677694755685695,1.237698543633149e-09,0.0002286911077823361,CASA VERDE
151250496,4310276273,0,153.87,0,5,30.70229746070133,0.03256297556595302,0.026590029386254484,1.167226500858353e-09,0.00026628228613749245,CASA VERDE
151250496,5588633692,0,309.863,10,4,31.051753325272067,0.03219651243389746,0.027706516538103333,4.813959677115629e-10,0.00023170414605955633,CASA VERDE
151250888,151250971,0,45.655,0,4,30.85949214026602,0.03239710353907401,0.0062333739039996915,2.1363204667941815e-09,0.0002352981244032679,CASA VERDE
151250888,2390252477,0,126.012,0,4,30.474244256348246,0.03280665973605479,0.005448828567806627,8.151324808869944e-09,0.00023209750486516702,CASA VERDE
151250888,2390252516,0,155.637,0,4,31.022249093107618,0.03222713346897729,0.0013382702045460152,2.5602434823375235e-09,0.00023290620531201542,CASA VERDE
151250971,453567683,0,146.186,0,4,31.20677146311971,0.03203657780533168,0.0046418118209878585,5.444510864354319e-10,0.0002356689034980982,CASA VERDE
151250971,2140736680,0,188.89600000000002,0,4,31.351390568319225,0.03188879803761243,0.002906872368005499,5.623627688168717e-10,0.00023383906581596055,CASA VERDE
163182057,1964865137,0,9.817,0,5,29.499153567110035,0.03389107961206437,0.0155436212824776,4.872803045093501e-07,0.0002532102794029227,CASA VERDE
163224731,9433798803,0,62.263999999999996,0,4,27.07279322853688,0.0369285191074268,0.010997068702185663,1.5428400402866657e-06,0.0002370925017807441,CASA VERDE
163224731,4915887872,0,62.968999999999994,0,4,26.844014510278114,0.03724324324324324,0.009311468650794524,1.7714221726565114e-06,0.0002394112994932075,CASA VERDE
163224731,496282201,0,49.998,0,4,27.0043530834341,0.037022111173799735,0.020189585429341947,1.2066970936015153e-06,0.00023367524593491832,CASA VERDE
163224738,462042987,0,85.39399999999999,0,5,24.169044740024184,0.041365232792003125,0.043603085520082484,0.0004099420517460656,0.00024008860304612268,CASA VERDE
163224738,462043024,0,17.659,0,5,23.759613059250302,0.0420780489790933,0.04388715346092698,0.0010794672993945079,0.0002516202815279925,CASA VERDE
163224738,2283841563,0,13.353,0,4,24.302539298669892,0.04113801235931576,0.00018954146353854863,0.000533823419188217,0.0002052580303269087,CASA VERDE
163226159,462043012,0,86.719,0,5,26.312454655380893,0.037995625080421314,0.03851184548658054,4.771922158704619e-05,0.00024431982638535945,CASA VERDE
163226159,453648901,0,60.73400000000001,0,5,26.46989117291415,0.037769636282239866,0.004544110035658709,2.443616778066928e-05,0.00025492822917641723,CASA VERDE
163226159,462041114,0,156.73000000000002,0,5,26.286094316807738,0.03803372802296376,0.0345280551897845,2.4194530830368884e-05,0.0002500622013192512,CASA VERDE
163226159,2386985689,0,43.867000000000004,0,5,25.6776299879081,0.0389349859197378,0.0015419784269572905,4.355357093223012e-05,0.0002446789057140227,CASA VERDE
163226161,2387001394,0,51.997,0,5,25.410157194679563,0.039344823976168494,0.042101897588500116,0.00011994412368740189,0.0002364352830315948,CASA VERDE
163226161,462042994,0,63.42,0,6,25.958645707376057,0.03851349462916554,0.004304984916065618,0.00011351426934236347,0.0002778180258614717,CASA VERDE
163226161,462042993,0,28.986,0,6,25.251511487303507,0.0395920126418618,0.010532008204018915,0.00014720248436531614,0.0002722084141085164,CASA VERDE
163226161,462043012,0,87.2,0,5,26.03458282950423,0.03840115928028016,0.03871824050808837,9.188200308646335e-05,0.00023608820836280446,CASA VERDE
163226166,2122088882,0,76.002,0,4,25.990568319226117,0.03846619087940002,0.0003055623336169128,1.4393203460079116e-05,0.0002461948835987749,CASA VERDE
163234539,453649400,0,108.844,0,5,28.301088270858525,0.03532578508865627,0.0012767180797886516,6.402197215410706e-07,0.00026601011621387664,CASA VERDE
163234539,11772486139,0,93.28000000000002,0,4,28.83409915356711,0.034672772563721914,0.004691883985969047,2.1806967671663178e-07,0.00023184795176143475,CASA VERDE
163234539,2540005271,0,104.799,0,4,28.41354292623942,0.03518597327432122,0.004379238272915771,3.6935939186018015e-07,0.00023610026041043716,CASA VERDE
312670734,2140747266,0,22.787,0,4,29.824183796856108,0.03352172749608751,0.004044121149236791,9.321734860167727e-10,0.00023866791300072222,CASA VERDE
312670734,312671231,0,94.32300000000001,0,4,29.295042321644498,0.03412721343955091,0.007010103097366425,2.8542759254977875e-09,0.00023715407559050274,CASA VERDE
312670734,2140728077,0,28.723,0,4,29.830955259975816,0.03351411824792665,0.0033956255491145657,8.812190493628228e-10,0.00023725487556065382,CASA VERDE
312670735,462043547,0,167.425,0,4,29.710278113663847,0.03365024582424381,0.00489705773516026,2.1221943415898692e-09,0.00023730406420330004,CASA VERDE
312670735,2140742743,0,32.216,0,4,29.91850060459492,0.033416051667973456,0.013051248738731017,1.0596289458440246e-09,0.00023767278800981815,CASA VERDE
312670735,2140747266,0,28.737000000000002,0,4,30.10205562273277,0.03321228870750048,0.013281336443181161,8.474120874506362e-10,0.00023879561877417492,CASA VERDE
312670745,312670746,0,145.278,0,5,28.75235792019347,0.03477134518172107,0.006100010967025404,2.1354825543657197e-08,0.0002596900723094151,CASA VERDE
312670745,312999808,0,66.144,0,4,29.371946795646917,0.03403785826616057,0.004833063065769667,5.740157725330638e-09,0.00022940736235445874,CASA VERDE
312670745,7302060735,0,41.717,0,4,29.55937122128174,0.033822037503681644,0.0009599200408588868,6.082277328300972e-09,0.0002290325422596914,CASA VERDE
312670746,312672073,0,20.966,0,6,28.094074969770254,0.03558608578880768,0.006269035055644831,4.500188155598287e-08,0.0002888852180504306,CASA VERDE
312670746,11191377808,0,69.405,0,6,28.4273276904474,0.03516891115894068,0.01608635469998102,3.8803112078432375e-08,0.00029642547321499747,CASA VERDE
312670746,11191377799,0,75.148,0,5,28.72938331318017,0.03479915148658204,0.015890218365932757,2.2510038323701532e-08,0.0002552545994825423,CASA VERDE
312671227,312671228,0,81.02,0,5,28.52744860943168,0.035045481133595,0.01087347594374429,1.431090936298571e-07,0.00027527705130777735,CASA VERDE
312671227,462043575,0,125.35700000000001,0,5,28.19056831922612,0.03546427836112827,0.008615587684787662,2.6110325062162034e-07,0.00027439287843578715,CASA VERDE
312671227,3891203415,0,84.672,0,3,28.815235792019347,0.034695470453458215,0.0006988120195667366,1.2199807791992415e-07,0.00017570695328756082,CASA VERDE
312671227,462043567,0,44.574,0,5,28.055139056831923,0.035635473415626506,0.008295370083371377,2.706957165894795e-07,0.00026908669804007516,CASA VERDE
312671228,462043561,0,137.03,0,4,28.94993954050786,0.03453403281317873,0.005407793817968385,7.938721732504291e-08,0.00022491183328880753,CASA VERDE
312671228,8002375163,0,82.008,0,4,28.41160822249093,0.03518836928210279,0.006840101990893706,5.851247992409115e-08,0.00022940189230988658,CASA VERDE
312671230,312999989,0,180.195,0,5,28.58839177750907,0.03497077309602159,0.0003959364850463754,2.037763022063864e-08,0.00027320088883908255,CASA VERDE
312671230,312671231,0,60.06099999999999,0,4,28.71172914147521,0.03482054867211914,0.006953680316338841,1.0154977564765883e-08,0.00023228769040998105,CASA VERDE
312671230,8002375163,0,63.111000000000004,0,4,28.237243047158405,0.03540565771105078,0.006884312048755146,2.9124824727517493e-08,0.0002302270652641412,CASA VERDE
312671231,462043547,0,98.178,0,4,29.38621523579202,0.03402133122654553,0.00045724435534041626,3.821828138495089e-09,0.00023597592434893992,CASA VERDE
312671238,2140645115,0,27.072000000000003,0,6,27.586940749697703,0.03624026930359773,0.019500299333844805,2.1266399769507977e-08,0.0002881620760745319,CASA VERDE
312671238,312672122,0,107.145,0,5,27.31100362756953,0.03660642339127432,0.010354435209183187,3.024615108413194e-08,0.0002433312856153158,CASA VERDE
312671238,312672513,0,139.58299999999997,0,6,27.64087061668682,0.03616956122315062,0.019633173761892445,3.792626824846908e-08,0.0002803318733116797,CASA VERDE
312671238,2140652799,0,140.866,0,6,27.9223700120919,0.03580491776301544,0.010087953589697933,2.110817517057018e-08,0.000281194679945459,CASA VERDE
312671457,2140652800,0,57.196999999999996,0,5,29.15622732769045,0.034289695672729985,0.011215920701322957,5.693459899198025e-09,0.0002483689159597011,CASA VERDE
312671457,2140652799,0,50.792,0,6,28.503748488512695,0.03507462053400982,0.01208277979165583,9.749854673499866e-09,0.00028495114618508707,CASA VERDE
312671457,312672458,0,37.155,0,6,29.10205562273277,0.03435352385384379,0.01813906920974644,5.290791458615545e-09,0.0002898838922601264,CASA VERDE
