u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
25717097,1378100588,0,132.379,1,4,24.964423489069866,0.04004841866694138,0.016161149175509006,2.302190271900045e-12,0.0001964133082832603,MOEMA
25717097,304693645,0,166.421,0,4,25.123660522931846,0.03979458657135301,0.02022262982435457,1.4033349423955754e-12,0.00020228489416320388,MOEMA
25717097,1378100606,0,8.638,0,4,24.553364766395198,0.04071888692980465,0.036109076060055714,5.629544481574361e-12,0.00019374713315565905,MOEMA
25720903,304693546,0,34.447,0,4,26.600728675525076,0.03758489836366712,0.027338501423660726,2.2891415758064e-14,0.00019267272257325558,MOEMA
25720903,4007241051,0,56.777,0,4,27.213459065580796,0.036738647639748614,0.027606024101129594,7.671692475093744e-15,0.0001910989873485424,MOEMA
25720915,4007241051,0,21.859,0,5,27.42756108015431,0.03645186244403291,0.017146698086877004,7.145724435436119e-15,0.0002150145428411437,MOEMA
25720915,1389167690,0,15.946,0,5,26.80968709815688,0.03729195644875054,0.028363889209941838,1.310462038660769e-14,0.0002115385048464087,MOEMA
25721007,307825576,0,425.633,0,5,25.833261894556365,0.03870148832733246,0.01943071637477356,7.628157679577286e-14,0.0002238007832800533,MOEMA
25721007,304693420,0,88.398,0,4,25.74517788255465,0.03883390078833235,0.019475419298367925,9.890332029986691e-14,0.0001970233464977212,MOEMA
25721007,4358353966,0,43.052,0,4,26.066223746249463,0.03835560123329908,2.8026185258643474e-05,1.1080876362296617e-13,0.00019377608267069011,MOEMA
25947878,3317179780,0,412.44,0,4,16.946849549935706,0.058995371424235526,0.022971743814725144,2.3229584280193018e-06,0.00021025987179280897,MOEMA
25947878,8693966316,0,137.428,0,4,17.576296613801972,0.05688261330797088,0.030992096847378428,4.852973877237574e-07,0.0002131873073960459,MOEMA
25947878,3278570096,0,434.02,0,4,17.162023146163737,0.05825570069182547,0.053621967526221274,4.812048416082177e-07,0.00021306377934181492,MOEMA
