u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
440375472,2513876981,0,8.307,0,5,36.03832558139535,0.027743074556286332,0.04223791292740609,1.3425009184574934e-13,0.000196982456969211,PARELHEIROS
440375472,1360579511,0,34.412000000000006,0,5,36.448,0.027431243236621272,0.010637068066643546,3.523857339628862e-13,0.00019769304702900795,PARELHEIROS
440375472,1360579509,0,85.576,0,6,36.6833488372093,0.02725525300117156,0.08653854805359137,9.189258253164825e-14,0.00024075734012288323,PARELHEIROS
440375472,1209207201,0,377.18800000000005,0,5,36.098046511627906,0.027697176166203673,0.04463149526573878,9.072637329501763e-14,0.0001996961557297388,PARELHEIROS
577321904,6283318095,0,24.974,0,6,44.93897674418605,0.02224825810297789,0.012098091774110791,0.10012472169435133,0.00019868951780430556,PARELHEIROS
577321904,6277557340,0,39.153,1,6,44.90790697674419,0.022263650675283787,0.0005823366242812618,0.10390977149967455,0.00019811280912255755,PARELHEIROS
577321904,2513876542,0,65.898,0,10,44.86995348837209,0.022282482502404884,0.022543591250486182,0.3384796277411121,0.00028416306694819523,PARELHEIROS
577321904,2513876529,0,21.482,0,7,44.4273488372093,0.02250447032416655,0.001669448511385632,0.10439221988878805,0.00022979540327042886,PARELHEIROS
577321904,13151847411,0,39.059,0,6,44.224372093023256,0.022607759164682422,0.03385046602305543,0.10188689684288106,0.00020011241842132652,PARELHEIROS
593879870,5311488272,0,265.792,0,2,68.6887441860465,0.01455571746631925,0.0004772130756382725,2.5065638081056903e-18,0.00015004794548019261,PARELHEIROS
593879870,593879912,0,1801.9769999999999,0,4,67.68948837209302,0.014770594039540336,0.0019074855825273957,-3.6435029291390015e-18,0.00026267951152383727,PARELHEIROS
593879912,5311486780,0,2132.3160000000003,0,2,67.69004651162791,0.014770472248333031,0.0004772130756382725,-5.472136070762651e-21,0.0001331963674153743,PARELHEIROS
593879912,5494626541,0,258.175,0,4,66.69116279069767,0.014991700723920047,0.002859861653765399,-4.187615602587269e-18,0.00023313157349068764,PARELHEIROS
593879948,5494626569,0,47.081,0,4,62.73618604651163,0.015936798465037795,0.011113142208927073,-1.964384211034588e-18,0.0002310380953731989,PARELHEIROS
593879948,5311488875,0,215.06699999999998,0,2,63.72874418604651,0.015688587092969622,0.0004772130756382725,3.957388402009216e-18,0.000126190403333949,PARELHEIROS
593879948,6648413453,0,383.336,0,4,63.7213023255814,0.015690419326018536,0.010169877604527032,4.751243319603843e-20,0.00022791115024052832,PARELHEIROS
593879953,2289236622,0,13.442,0,4,60.76297674418605,0.016454328063906724,0.013938380288708216,4.047805717897927e-19,0.00020643391020275703,PARELHEIROS
593879953,593879962,0,220.091,0,4,60.753860465116276,0.016456797079791273,0.029067287613131675,-1.4112630991716596e-18,0.00018887721167831745,PARELHEIROS
593879953,1214961422,0,396.571,0,4,59.78641860465116,0.016723094923946327,0.04305942555618387,-3.836697480466923e-19,0.00018689197625814194,PARELHEIROS
593879962,5311475976,0,90.09100000000001,0,4,61.713488372093025,0.016200898375086672,0.010245388885946644,-3.747277228270828e-18,0.00018308143224731143,PARELHEIROS
593879962,5311475981,0,75.914,0,4,61.72483720930232,0.016197919649396722,0.01837771471883437,-3.40065414184276e-18,0.00018233504763132943,PARELHEIROS
593879977,3094000636,0,29.153,0,4,63.6626976744186,0.015704863130393616,0.009302010388211128,-1.656690155022298e-18,0.00021145615836872607,PARELHEIROS
593879977,5311475993,0,370.965,0,4,64.63013953488372,0.015469778661838239,0.007074142852993886,-1.3030941512872397e-18,0.0002123295292342796,PARELHEIROS
593879977,5311465487,0,5.77,0,4,64.63720930232559,0.015468086637403755,0.0019791244905408736,-2.169784230848864e-18,0.00021294708655866308,PARELHEIROS
593880050,3094000357,0,567.328,0,3,66.6546976744186,0.014999902308042282,8.086426818691491e-06,2.9306362224559197e-18,0.00017052617495512368,PARELHEIROS
593880050,5311485221,0,911.1150000000001,0,4,67.62232558139534,0.014785264258398217,0.0019048660358114815,2.5044268598376513e-18,0.00021797953243539762,PARELHEIROS
615537878,2334793782,0,175.22600000000003,0,5,37.371348837209304,0.026753488557332814,0.024856423213967423,-5.25296057446378e-18,0.00022584944529344662,PARELHEIROS
615537878,2152524987,0,32.319,0,5,37.250418604651166,0.026840341422727884,0.1300953458057925,-8.619249072735954e-18,0.00022363224962740374,PARELHEIROS
615537878,8945679843,0,148.51900000000003,0,3,37.49246511627907,0.026667063645656554,0.0004772130756382725,-8.399915280271712e-18,0.000141577066211358,PARELHEIROS
615537878,5846949136,0,167.898,0,5,36.84781395348837,0.027133602952685337,0.10499951880065762,-6.949618522943213e-18,0.00022080970328765671,PARELHEIROS
615537879,8945679842,0,24.638,0,4,38.09153488372093,0.026247667796543944,0.13089647152752032,-1.1247170521574291e-17,0.00019607134523237592,PARELHEIROS
615537879,2152524987,0,42.79600000000001,0,4,37.74325581395349,0.026489870360329276,0.13017643786065036,-1.3845466788782647e-17,0.0001883259706742038,PARELHEIROS
615537879,7975914909,0,13.696000000000002,0,4,38.44874418604651,0.026003812989325567,0.00039862667416084815,-1.2439908444319639e-17,0.00019236944387341975,PARELHEIROS
615537884,2330727393,0,364.211,0,4,39.85525581395349,0.025086125608014116,0.0027639634652958465,3.637670349571224e-18,0.0002129528920340589,PARELHEIROS
615537884,7961668107,0,466.674,0,4,39.76074418604651,0.025145755542453935,0.09457497569800954,6.792954600062461e-18,0.00019413498562633174,PARELHEIROS
615537884,8945679838,0,44.251999999999995,0,4,40.07013953488372,0.02495159650287635,0.09399320854040565,3.864203906762001e-18,0.00021496635970948998,PARELHEIROS
615537887,4655014908,0,9.165,0,4,39.2786976744186,0.025454355991531005,0.0032398098209084247,8.898607548002864e-18,0.0001690147450261838,PARELHEIROS
