u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
308237352,7823081001,0,10.475,0,5,37.99903984637542,0.026310137457044674,0.025300405894693383,4.3134934614338364e-14,0.0002689765862607356,PEDREIRA
308237352,7823080999,0,3.499,0,4,37.306048967834855,0.02679887013647156,0.09489954512300186,1.511537295354343e-13,0.00022535935581289448,PEDREIRA
308237352,7823080997,0,20.258,0,5,38.05112818050888,0.026274121409781668,0.06924100339428242,4.339043772975122e-14,0.0002652075960973681,PEDREIRA
308237429,8710396261,0,86.272,1,4,41.447671627460394,0.0241210162679315,0.06185584209635366,1.4107975852846953e-16,0.00021614627209031492,PEDREIRA
308237429,8710396265,0,106.963,0,4,42.273403744599136,0.023649857192338922,0.0007069289941210112,1.0475382954819133e-16,0.00021883623489150756,PEDREIRA
308237429,440406270,0,209.06,0,5,42.10417666826692,0.023744911804613297,0.06218506013011675,8.305311606886583e-17,0.00025110648194392885,PEDREIRA
440406270,4722925282,0,65.003,0,7,42.81445031204993,0.023350993748773582,0.013680343970560789,9.421669989181882e-17,0.0003328396718491148,PEDREIRA
440406270,1112164870,0,271.34000000000003,0,5,42.86869899183869,0.023321443969740917,0.07450849193449184,5.569171088910759e-17,0.00025055336368931156,PEDREIRA
440406270,4722925283,0,39.662,0,6,42.90590494479117,0.02330122072661766,0.00047692125972166393,7.825323788923759e-17,0.0002858340610698945,PEDREIRA
440406420,440460580,0,246.571,0,4,35.48703792606817,0.028172539045853935,0.0018885548017896115,2.2453939266752244e-13,0.0002384749751400374,PEDREIRA
440406420,6363776482,0,22.095,0,4,36.224915986557846,0.027598682684725637,0.0005974862423565249,1.6299533112538405e-13,0.00023899530077678332,PEDREIRA
440406420,6363776785,0,46.164,0,4,35.901824291886705,0.027847051822928855,0.0019495046269592644,2.398117291212528e-13,0.00023751370829777418,PEDREIRA
440406513,440406517,0,101.132,0,4,34.77004320691311,0.028753486317068457,0.001681458862983236,3.0389709970462993e-12,0.0002321226575363623,PEDREIRA
440406513,7985097009,0,374.43700000000007,0,4,35.40110417666827,0.028240925949783363,0.0012074293832878694,1.1753516799373314e-12,0.00023549404603962916,PEDREIRA
440406513,440461450,0,254.614,0,4,34.595055208833415,0.028898926611297296,1.4014010896672028e-05,3.0244805400025832e-12,0.0002310952528251705,PEDREIRA
440406517,1368143765,0,55.494,0,4,34.942870859337496,0.028611271398345836,0.0019497270715766717,2.687096775528042e-12,0.00023760462341447332,PEDREIRA
440406517,440461458,0,351.614,0,5,33.95751320211234,0.029441495189690883,0.00022956284516453227,1.0869592069374695e-11,0.0002752907948498599,PEDREIRA
440437627,440437631,0,218.75099999999998,0,4,37.972635621699474,0.026328432178211562,0.005121787315807515,3.0369074121430254e-13,0.00023008742098477544,PEDREIRA
440437627,1368142645,0,84.258,0,5,38.65914546327412,0.025860891378047115,0.004711599441308099,2.502681952265996e-13,0.0002641309814639252,PEDREIRA
440437627,1368142285,0,74.984,0,4,38.799807969275086,0.02576713684731502,3.1587135671863935e-05,1.1629508911106464e-13,0.00023485523848663315,PEDREIRA
440437631,1368141547,0,23.218,0,5,37.24483917426788,0.02684291256879906,0.015683680194932666,1.1367400052348568e-12,0.00027600406406199556,PEDREIRA
440437631,1368141951,0,128.426,0,4,38.103936629860776,0.026237707964546022,0.010011564895659015,2.7126890033383966e-13,0.0002456354778214928,PEDREIRA
440437639,1368141542,0,28.764,0,5,32.816370619299086,0.03046528128268709,0.09720785291783941,1.701781807125016e-09,0.000263817181876303,PEDREIRA
440437639,7985096997,0,60.068999999999996,0,5,33.04176668266923,0.03025746084328597,0.0017682122637721579,1.8712904634399336e-09,0.00026362200022515326,PEDREIRA
440437639,440516884,0,106.514,0,6,32.306289006241,0.030946295360656226,0.09297006051160928,4.893212262843936e-09,0.00030338555201677575,PEDREIRA
440437639,1368141538,0,31.505,0,5,33.05568891022563,0.030244717159247696,0.004663773848565488,2.360831483430405e-09,0.0002633019711420529,PEDREIRA
440437645,440516884,0,76.801,0,5,31.810849735957753,0.03142826959645045,0.21188005519295847,1.0242343847851676e-08,0.00026115025811903345,PEDREIRA
440437645,442351516,0,149.444,0,4,31.94119059049448,0.031300021793532584,0.00025403175307935646,3.390956714367989e-08,0.00022037731327654512,PEDREIRA
440437645,442351520,0,117.99400000000001,0,4,31.424387902064332,0.031814779168003425,0.21193700101501478,8.628277698293464e-09,0.0002191889996768265,PEDREIRA
440437653,1368142509,0,95.422,0,5,30.452952472395584,0.032829656254187455,0.321116600797108,5.781655340057102e-10,0.0002635055299299615,PEDREIRA
440437653,440460577,0,130.834,0,5,30.44599135861738,0.032837162364591055,0.001738849574274369,5.252207572287517e-10,0.00026667985707792895,PEDREIRA
440437653,1368142206,0,38.448,0,5,31.11065770523284,0.03213560995933862,0.010605936913371835,6.90490755563867e-10,0.00026073468048063363,PEDREIRA
440437653,440460641,0,45.282,0,6,30.779164666346617,0.0324817119772901,0.31272332049308854,1.5376833563457506e-09,0.00030315927016559573,PEDREIRA
440437666,1378085048,0,193.85399999999998,0,4,28.960153624579934,0.03452191499237451,0.061911008361470725,1.2280198362248823e-09,0.0002574210115635834,PEDREIRA
440437666,440437671,0,58.87,0,4,28.324051848295728,0.03529720842726148,0.344113147789312,4.209563600561813e-09,0.0002413315081498703,PEDREIRA
440437666,4000799039,0,299.553,0,4,28.667786845895343,0.034873984760947836,0.34210691978491387,1.0223303528454362e-09,0.0002492201486617202,PEDREIRA
440437671,1378085305,0,24.487,2,4,28.326452232357177,0.035294217341197205,0.03971125798882038,1.7880431373436882e-08,0.00023748819301184373,PEDREIRA
440437671,440437675,0,175.715,0,5,28.156265002400385,0.03550754908396491,0.3238764711652828,4.4655677102767046e-09,0.00027800018130458764,PEDREIRA
440437675,1390362226,0,28.757,0,5,28.600096015362457,0.03495652465840803,0.3202288243290347,1.3380921597266925e-09,0.00027508118999655293,PEDREIRA
440437675,1390362364,0,366.92099999999994,0,5,28.222275564090253,0.03542449861363907,0.0,1.3380830176539965e-09,0.0002746504824716904,PEDREIRA
440437675,1390362384,0,256.62,0,5,28.611137782045127,0.03494303404533785,0.0036903562027903007,1.326003249351662e-09,0.0002780556766135912,PEDREIRA
440437687,1368139420,0,251.558,0,5,33.94935189630341,0.029448572822467177,0.006214657721130525,3.339987123369499e-05,0.00026828279783836303,PEDREIRA
440437687,1368140407,0,112.97599999999998,0,4,34.39726356216995,0.029065101640625545,0.002685573865960657,8.252425892394805e-06,0.00022976637605520538,PEDREIRA
440437687,1368140380,0,35.065,0,4,33.83581373019683,0.02954738933030647,0.009491934269395113,8.172731011989716e-06,0.0002351913941136278,PEDREIRA
440437717,440437727,0,191.96,0,4,36.6915506481037,0.027247689016531792,0.10691644824458942,6.532771028002143e-10,0.0002638598878367292,PEDREIRA
440437727,442351479,0,126.718,0,4,36.518482957273164,0.027376820739338486,0.10782891606519496,1.9179479739735613e-10,0.0002662887898224043,PEDREIRA
440437727,5351845302,0,24.781,0,2,37.205952952472394,0.026870967741935484,0.0006668889629876625,1.446305589521463e-10,0.00014906792478708216,PEDREIRA
440437732,13116732950,0,59.993,0,2,36.89870379260682,0.02709471766848816,0.0006668889629876625,1.8750179980811463e-10,0.00014923659513406228,PEDREIRA
440437732,440437734,0,21.179,0,4,36.16130580892943,0.02764723063034358,0.10749903069757964,8.663672899234542e-10,0.0002632223610673057,PEDREIRA
440437732,442351479,0,52.592000000000006,0,4,36.62770043206913,0.027295187789581298,0.10678142436182307,2.2919982019451805e-10,0.0002664574601693844,PEDREIRA
440437734,8490264858,0,100.92,0,4,36.20139222275564,0.027616616384311905,0.0021000996329441366,1.0575594155095418e-09,0.0002487890630660127,PEDREIRA
440437734,7824862919,0,12.791,0,4,35.56817090734518,0.028108275913265892,0.10580956382836974,3.5878961727744164e-09,0.00025260955127012953,PEDREIRA
440437742,1368141091,0,74.458,0,5,34.32573211713874,0.029125670449856995,0.10460079977737742,1.6196421648471603e-08,0.0002717950643355895,PEDREIRA
440437742,7824862909,0,9.211,0,4,34.42774843975036,0.02903936524758412,0.006276052435534993,4.8883339623227e-09,0.00022561543244333112,PEDREIRA
440437742,1368141552,0,38.309000000000005,0,4,33.81517042726836,0.02956542726124054,0.10560180055571114,5.175454682570891e-09,0.00022452885067375826,PEDREIRA
440460577,1368142758,0,25.699,0,4,30.632741238598175,0.032636973420260784,0.016064505379934296,1.2405076770328125e-10,0.00023567757006774765,PEDREIRA
440460577,8709787482,0,105.342,0,4,30.101776284205474,0.03321265669356639,0.014864416669020872,1.3845786851496304e-10,0.00023161237288891543,PEDREIRA
440460580,8706953155,0,13.39,0,4,35.73067690830533,0.027980437206927593,0.0015531083187391127,2.6371300308507426e-13,0.0002384367059172554,PEDREIRA
440460580,7985119394,0,47.47,0,4,34.98055688910225,0.028580447268560134,0.0007558668099506595,6.455332849330843e-13,0.00023711976299862011,PEDREIRA
440460641,442351496,0,108.404,0,5,31.2966874699952,0.031944593578868245,0.10181868494746192,1.3626470294512091e-09,0.0002731734943945828,PEDREIRA
440460641,442351501,0,74.301,0,6,31.43302928468555,0.03180603283696067,0.001839616985959963,2.8165521602462073e-09,0.00029990430234416276,PEDREIRA
440460641,442351520,0,99.161,0,5,31.10633701392223,0.032140073617359495,0.21283189571084513,3.011559478588397e-09,0.00026182699985235835,PEDREIRA
440461431,1368142014,0,84.641,0,4,34.255880940950554,0.029185060612430803,0.002552329540133569,2.2521359565823877e-10,0.0002317768865660805,PEDREIRA
440461431,3899222421,0,242.848,0,4,34.48991838694191,0.028987020217837632,0.003888776801517784,1.5837170909672705e-10,0.0002350274122520236,PEDREIRA
440461431,7985096997,0,128.331,0,4,33.75276044167067,0.029620094727409788,0.006937602727704877,6.185826943902111e-10,0.00022710083051726145,PEDREIRA
440461436,1368142999,0,124.661,0,4,36.023043686989915,0.02775334506103737,0.003720163781522905,1.1214984582506695e-11,0.00023960621206383254,PEDREIRA
440461436,3899222421,0,50.45,0,4,35.332693230916945,0.02829560585885486,0.0033578014997660993,3.9680292840812484e-11,0.0002385525487485644,PEDREIRA
440461436,3899222418,0,63.99,0,4,35.531445031204996,0.028137329081770523,0.0008246021967295747,2.037962527945006e-11,0.00023912915741796032,PEDREIRA
440461450,7985119394,0,108.028,0,4,34.41598655784926,0.02904928963501817,0.0028334995365366395,2.602487749017866e-12,0.0002322725175560037,PEDREIRA
440461450,440461458,0,233.126,0,5,33.7849255880941,0.02959189473385057,0.0032710480989771775,1.0855103883934368e-11,0.00027415747117366494,PEDREIRA
440461458,440516877,0,105.405,0,5,33.15002400384061,0.030158649703482185,0.09928526319980799,3.5223640346331007e-11,0.0002745635505871925,PEDREIRA
440461458,440516900,0,189.928,0,5,33.95751320211234,0.029441495189690883,0.0953370936854424,1.1705761768998058e-11,0.00027431611968332736,PEDREIRA
440461459,440516877,0,33.256,0,4,32.57201152184349,0.03069383543977302,0.10398106907328016,8.658867745126096e-11,0.00023309188910354772,PEDREIRA
440461459,442351496,0,25.467,0,4,31.993038886221797,0.031249296609470074,0.10092846158859713,3.098653812613671e-10,0.00023873678651831356,PEDREIRA
440461459,440516874,0,122.27400000000002,0,4,32.170427268362936,0.031076987360284133,0.003718161779966237,7.505430357541395e-11,0.0002356767432502667,PEDREIRA
440461467,8709745010,0,36.646,0,4,33.488718194911186,0.02985363476066918,0.0005271937432557572,5.097950283417733e-12,0.00022597893345072605,PEDREIRA
440461467,440516874,0,92.767,0,4,32.5,0.030761844972118615,0.0033446772673390575,1.8719080251275136e-11,0.00023024618933504236,PEDREIRA
440461467,8709745013,0,25.86,0,5,33.487758041286604,0.02985449071751129,0.002160827013496382,5.856088956421126e-12,0.0002727638452472191,PEDREIRA
440516874,440516875,0,46.690000000000005,0,4,31.838694191070573,0.03140078407720145,0.001527972076972066,2.3366625914744397e-11,0.00023656025178698964,PEDREIRA
440516875,1368142758,0,50.05,0,4,31.329092654824773,0.03191155175187906,0.012854629550744177,3.2044061810825454e-11,0.00024097839627273748,PEDREIRA
440516875,1368142962,0,47.097,0,4,32.15938550168027,0.031087657490893893,0.011086862176206833,1.0712949383148391e-11,0.00023785951534786178,PEDREIRA
440516877,442351492,0,166.141,0,4,33.11929908785406,0.03018662801232107,0.0056198408141828905,8.579143491458576e-11,0.00023188227358523708,PEDREIRA
440516883,440516890,0,118.887,0,4,34.41574651944311,0.029049492244169178,0.0020769653927337575,7.236533468408926e-11,0.0002369092916567745,PEDREIRA
440516883,442351490,0,64.786,0,4,34.33749399903984,0.029115693813351974,0.0007769990486043713,2.608215225771917e-10,0.00023443192212399961,PEDREIRA
440516883,442351492,0,79.412,0,4,33.90902544407105,0.029483594662513716,0.0018182623026888438,1.1668073911820835e-10,0.0002353410857011218,PEDREIRA
440516884,7984293112,0,17.683,0,5,32.530004800768126,0.030733471074380167,0.1202993837616764,8.033233986600725e-09,0.0002616361807178498,PEDREIRA
440516884,1368141893,0,24.225,0,5,32.528564570331255,0.030734831825494045,0.010223554616048356,4.381405512255026e-09,0.0002628293732741749,PEDREIRA
440516890,3899222418,0,174.497,0,4,34.92534805568891,0.028625626292964213,0.0012323431804375086,2.6297863533300036e-11,0.00023827161419343404,PEDREIRA
440516890,1368142905,0,93.35000000000001,0,4,35.15698511761882,0.02843702206685602,0.00038327207579310957,1.9028223665211397e-11,0.00023632590269524845,PEDREIRA
440516900,440516902,0,47.65,0,4,34.713154104656745,0.02880060851225668,0.09453718284124506,4.4736064453332775e-12,0.00023203909900397244,PEDREIRA
440516900,1368142905,0,55.366,0,4,34.702832453192514,0.028809174667293803,0.0005703479990328108,6.974415096844734e-12,0.00023196507850114606,PEDREIRA
440516902,1368142905,0,26.359,0,4,35.2129140662506,0.028391855320831372,0.00022088750508564005,5.5436830924523584e-12,0.00023509763529889842,PEDREIRA
440516902,7988198494,0,305.67400000000004,0,4,35.20043206913106,0.02840192301135395,0.09428337353278311,1.9152798834527327e-12,0.00023684780301812578,PEDREIRA
442351479,1368140067,0,110.729,0,4,36.05208833413346,0.027730986131177884,0.002336780705865709,9.35435713082526e-11,0.0002534391194310914,PEDREIRA
442351490,1368141893,0,97.30799999999999,0,4,33.36389822371579,0.029965322244125646,0.004043375810615991,1.0721423450787968e-09,0.00022721411341727375,PEDREIRA
442351490,442351492,0,70.783,0,4,33.701152184349496,0.02966545345764571,0.003585362343373964,2.62783562428347e-10,0.00023358261510599733,PEDREIRA
442351496,1368142227,0,134.68800000000002,0,2,32.14930388862218,0.031097406185135963,0.0006668889629876625,2.8624362726735903e-10,0.00013354770117033067,PEDREIRA
442351501,442351514,0,99.796,0,5,32.152904464714354,0.031093923806822,0.009446555567443985,4.172643531476984e-09,0.00025695863041064047,PEDREIRA
442351501,1368142101,0,40.546,0,5,32.33149303888622,0.03092217115959998,0.01048403726303253,2.294720913572148e-09,0.00025653444632545467,PEDREIRA
442351501,1368141796,0,60.572,0,5,32.15218434949592,0.031094620220088694,0.0006103880301661594,4.07777211619471e-09,0.0002554373894348723,PEDREIRA
442351505,1368142416,0,17.112,0,2,32.87662025924148,0.030409450658567216,0.0006668889629876625,2.2495295942784952e-10,0.00015546765521052845,PEDREIRA
442351514,442351518,0,46.419,0,5,32.45607297167547,0.03080347898115552,0.009166497794127952,1.1369960831359912e-08,0.0002641522028111024,PEDREIRA
442351514,1368141921,0,45.234,0,4,32.65194431108977,0.030618696150792483,0.0002662662070367685,3.821620230141109e-09,0.0002223934010474815,PEDREIRA
442351516,442351518,0,59.576,0,5,32.11353816610658,0.031132040213775834,0.009148034890883129,3.608091785498113e-08,0.000267666835047331,PEDREIRA
442351516,1368140977,0,117.958,0,4,32.51200192030725,0.030750489128428513,0.0088028008446667,1.4318100726334748e-07,0.00022640350770491077,PEDREIRA
442351518,1368141698,0,44.058,0,5,32.474315890542485,0.030786174679202884,0.00012946276733116064,1.1084056548151148e-08,0.00027793737307278785,PEDREIRA
442351518,1368141796,0,201.497,0,5,31.830772923667787,0.031408598339454176,5.5388709734465635e-05,1.1275089424035237e-08,0.0002626309618353342,PEDREIRA
442351520,1368141921,0,41.288,0,4,31.766202592414785,0.03147244177787181,0.0020306969123129993,3.2512877807630277e-09,0.00022452657186562502,PEDREIRA
656117366,1360433544,0,48.521,0,4,41.082093134901584,0.024335662701287775,0.0010784115051915236,3.418426133757544e-16,0.00026282183214762023,PEDREIRA
656117366,1360433692,0,264.371,0,2,42.080172827652426,0.023758456641529667,0.0006668889629876625,1.1956984267345244e-16,0.00015392525925679804,PEDREIRA
