u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
142774898,142774900,0,38.892,0,6,22.732018883643434,0.04397859708275306,0.02983201355340266,0.0003344762099118931,0.00033259663606883985,PERDIZES
142774898,453215703,0,36.729,0,5,23.03582338239378,0.04339859195679429,0.02789028913732939,0.0002212033334376575,0.0002926027345117173,PERDIZES
142774898,3180553957,0,28.888999999999996,0,6,22.951402388225493,0.04355822282450876,0.013450046401901177,0.0003482243381988431,0.00033179863055077903,PERDIZES
142774900,142774902,0,36.805,0,6,22.649819494584836,0.04413820161349648,0.0029528811099450406,0.0005192977456209533,0.0003291010654225653,PERDIZES
142774900,2369266770,0,49.156,0,5,22.617606220494306,0.04420106573680721,0.029999696436160527,0.0003419879751612616,0.00028976776764630266,PERDIZES
142774900,3354899517,0,34.1,0,5,23.040821993890585,0.043389176810895505,0.00287554460798344,0.00027396539477605146,0.00028917489567783844,PERDIZES
142774902,3180553957,0,47.224,0,6,22.344626492640934,0.04474106110883263,0.009066440005666525,0.0005330458739079013,0.0003283030599045045,PERDIZES
142774902,142775716,0,123.3,0,6,22.201332963065816,0.04502983226387482,0.02501329898725321,0.0008777220599399779,0.0003294994430192683,PERDIZES
142774902,1416684597,0,42.852999999999994,0,5,22.259927797833935,0.044911300182140276,0.031212144866446367,0.0005627962196671084,0.0002906064613254788,PERDIZES
142775716,142775719,0,50.03900000000001,0,5,21.78394890308248,0.04589261128958238,0.03634851730747548,0.001391686909945053,0.000283062276686601,PERDIZES
142775716,1825102597,0,19.64,0,5,22.093029713968342,0.04525057505939138,0.010324423011873684,0.0007523496150146205,0.0002851714153114255,PERDIZES
142775716,453215878,0,26.758,0,5,22.080810885865038,0.0452756153081886,0.003947414069750297,0.0011829860552694453,0.00028902862738764974,PERDIZES
142775719,142775723,0,113.738,0,4,21.697028603165787,0.046076461327770026,0.025202303615878992,0.0012754501526179027,0.0002365894482706025,PERDIZES
142775719,206291821,0,161.568,0,5,21.39683421271869,0.04672290720311486,0.013800228973867491,0.0037476204997654596,0.00027596769902304345,PERDIZES
142775723,3044263359,0,19.526,0,4,22.08886420438767,0.04525910839556461,0.002707861725225577,0.0006096413280899017,0.0002436088136989317,PERDIZES
142775723,142775729,0,128.54500000000002,0,5,21.758678144959735,0.04594591145201843,0.026419088672443053,0.0014326889352338514,0.00028177427294366945,PERDIZES
142775729,9863852818,0,121.045,0,5,22.14190502638156,0.04515069042930781,0.02541768938769728,0.0013844488464658368,0.00028050573968662604,PERDIZES
142775729,313002030,0,137.47299999999998,0,6,21.60094418217162,0.04628141672558977,0.03749230248835616,0.0033239098568019357,0.0003136082501464891,PERDIZES
142775729,1955345920,0,19.927,0,6,21.802832546514857,0.04585286325657224,0.03665352668904366,0.0014735470325727802,0.0003228413515824485,PERDIZES
142775735,142775742,0,129.40699999999998,0,6,22.900027770063872,0.0436559426651953,0.024759606349977308,0.0009649892838074618,0.00032361420654779813,PERDIZES
142775735,8035008623,0,28.555999999999997,0,4,22.757567342404887,0.04392922513727883,0.0007318056844497255,0.0007921166323838474,0.0002356387976594469,PERDIZES
142775735,9863852818,0,26.256,0,4,22.656484309913914,0.04412521756183659,0.024277879447571635,0.000709850266969959,0.00023594438894720732,PERDIZES
142775742,459383867,0,25.409,0,7,22.660649819494584,0.044117106408009706,0.007823996576956324,0.0010440926092242838,0.00035997190974862046,PERDIZES
142775742,4580203730,0,26.993000000000002,0,6,22.999444598722576,0.04346723657043503,0.027655027161735925,0.000854692132291334,0.0003269075947789858,PERDIZES
142775742,4580203735,0,43.632,0,6,22.823660094418216,0.043802014892685065,0.007040874148214322,0.0009216984314914889,0.00031994197864690084,PERDIZES
142775742,4633941083,0,58.69,0,6,22.399333518467092,0.04463178775105381,0.005968281915401095,0.0011110852017865158,0.000328208521029012,PERDIZES
142775753,1828182282,0,169.09,0,6,22.52735351291308,0.044378151156913744,0.022591654596390193,0.00034065829037015514,0.0003023583561928687,PERDIZES
142775753,415994096,0,20.989,0,7,22.51041377395168,0.04441154700222058,0.02960289513170334,0.00035872273031006927,0.0003483723394128634,PERDIZES
142775753,396152153,0,64.25,0,6,22.483476811996667,0.044464755505601326,0.019023333940461015,0.00033483772631774997,0.0003119409582684874,PERDIZES
142775753,4580203724,0,103.529,0,5,22.874201610663704,0.04370523248755615,0.03332372047841661,0.00022417434066996264,0.0002772378276628116,PERDIZES
142775763,466838454,0,28.197,0,5,22.956400999722298,0.04354873829627658,0.00825296119297698,2.672708732840934e-05,0.00030354881224308643,PERDIZES
142775763,415994091,0,17.43,0,5,22.664815329075257,0.04410899823564007,0.004166775082323622,4.9057360827554936e-05,0.0002916391607586051,PERDIZES
142775763,453217334,0,75.565,0,5,22.864759788947513,0.043723280217644774,0.006155841001934136,5.3540151370847096e-05,0.0002949152248079771,PERDIZES
142775763,466838426,0,28.119,0,5,23.187725631768952,0.04311428879387777,0.001965575860603485,2.704113965676853e-05,0.00030320254748821365,PERDIZES
142789517,466122659,0,215.91199999999998,0,4,23.40044432102194,0.042722363970806386,0.01899297755651347,2.8926259892061696e-07,0.00027577026518554296,PERDIZES
142789517,1977924533,0,26.561,0,4,23.418217161899474,0.04268994058983268,0.07802385722669859,9.494496040291676e-08,0.0002729631714210655,PERDIZES
142789520,165471449,0,33.327,0,4,24.176062204943072,0.04135174251648326,0.013413185078536302,2.414803125330002e-07,0.00027565383269061123,PERDIZES
142789520,142789521,0,128.875,0,4,24.139128019994445,0.04141501294219154,0.023490059007028226,7.356055188888691e-07,0.0002722762231182148,PERDIZES
142789520,466122659,0,39.97,0,4,23.92196612052208,0.04179097547101912,0.01456239104226476,3.983219553150629e-07,0.00027562918379719177,PERDIZES
142789521,2377178639,0,110.301,0,5,24.19883365731741,0.041312829928850124,0.02256635760976724,2.7725495661612786e-06,0.00032753048953190235,PERDIZES
142789521,466123393,0,36.873,0,4,24.444043321299638,0.040898401554139256,0.003655053181493592,7.295993791208502e-07,0.000272043921158169,PERDIZES
142789526,4359583756,0,46.879,0,5,21.770063871146903,0.04592188177666658,0.01175406414159374,0.001275679098156002,0.00028806967762919045,PERDIZES
142789526,206291972,0,118.39200000000001,0,6,21.026103860038877,0.04754672125734663,0.010140839166095678,0.0027588837747662825,0.00031040559812441234,PERDIZES
142789526,461153837,0,172.28300000000002,0,6,21.23632324354346,0.0470760539805419,0.008719871288932063,0.002249314449227194,0.00032320265229575883,PERDIZES
142789526,466090858,0,178.744,0,5,21.63704526520411,0.046204196881216714,0.006983775235551084,0.0014829243669901278,0.0002794582158319013,PERDIZES
142789528,2453466150,0,24.536,0,4,21.46098306026104,0.04658324814637492,0.0017946405081369565,0.001722219271558645,0.0002398690156204372,PERDIZES
142789528,2377235029,0,135.958,0,6,20.731741183004722,0.04822182037371911,0.026891419551245913,0.005360738916846939,0.00031276680931697554,PERDIZES
142789528,2377235027,0,29.055999999999997,0,4,21.45542904748681,0.04659530681715225,0.025143759161123012,0.0015217741563894884,0.00024628848530274807,PERDIZES
142790350,142790353,0,26.558,0,4,21.681477367397946,0.04610951008645533,0.01375505578346936,0.00038183306051569823,0.0002627101250805592,PERDIZES
142790350,461153837,0,138.49,0,5,21.319078033879478,0.04689331770222743,0.0016186457583458375,0.0015336660804338746,0.0002908907441094787,PERDIZES
142790350,2377235006,0,133.444,0,4,21.874201610663704,0.0457032588962663,0.012258558331960068,0.0003904267044168016,0.0002610695728677918,PERDIZES
142790353,4359584870,0,72.117,0,4,22.309080810885867,0.04481234829152922,0.026294410666944212,0.00012662378586720226,0.0002722844132473086,PERDIZES
142790353,466122720,0,97.81700000000001,0,4,21.978061649541793,0.04548728251393048,0.014577569234238532,9.925901757237934e-05,0.00027311703216310824,PERDIZES
142790358,2377235035,0,109.04,0,5,20.925853929464036,0.04777450433951748,0.04098617772650922,0.005734626708671577,0.0002568287563342363,PERDIZES
142790358,479041640,0,142.945,0,6,20.721466259372395,0.04824573159291324,0.031742658814482023,0.007512415810696928,0.0003002665765248012,PERDIZES
