u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
573641,465879071,0,25.403,0,4,23.353956834532376,0.04281049490833238,0.018161845849154146,2.3652304473008346e-10,0.00020655192368210289,PINHEIROS
573641,4345300990,0,33.384,0,4,23.25344295991778,0.04299554486952832,0.00467233541010019,2.1132166609479683e-10,0.00020649890825330015,PINHEIROS
573641,292424978,0,241.57399999999998,0,4,22.645220966084274,0.044150350824642144,0.022871622735010103,7.675917986567126e-10,0.00020990067305142916,PINHEIROS
573643,292424978,0,286.803,1,4,22.149845837615622,0.045137761115080874,0.01467934983657381,2.928379809611371e-09,0.0002087101086316334,PINHEIROS
573643,25619056,0,384.6069999999999,0,4,21.7311408016444,0.04600745351014926,0.0012845156291835243,1.1136754399678293e-08,0.00021017612293775981,PINHEIROS
573643,465878282,0,104.764,0,4,22.162589928057553,0.04511180567792916,0.01405435020221322,3.155376541592642e-09,0.00019608929409600247,PINHEIROS
573644,25619056,0,324.413,0,4,21.226927029804727,0.04710029147178727,0.0019526119622004902,4.360983925115647e-08,0.00021250371340000905,PINHEIROS
573644,25618520,0,156.295,0,4,20.96032887975334,0.047699368454085435,0.0007135331239080788,4.386015399450029e-08,0.0002092496896872737,PINHEIROS
573644,1452877485,0,758.8679999999999,0,4,21.157656731757452,0.04725449811526056,0.0014890786920366468,1.7028042224796708e-07,0.0002077906968317813,PINHEIROS
25614663,4732084365,0,233.988,0,6,24.18355601233299,0.04134191223343221,0.0250458121806871,0.0007943983287657877,0.00025964994157252766,PINHEIROS
25614843,25614854,0,241.76800000000003,0,4,24.173484069886946,0.04135913744430462,0.017374209804479443,0.0005559281409434517,0.00019670756192759334,PINHEIROS
25614854,299278929,0,127.93,0,4,23.849331963001028,0.04192127694415955,0.002367978333866029,0.0006383649098969172,0.00019389221908663992,PINHEIROS
25614854,8061758726,0,55.256,0,4,23.882219938335048,0.0418635475569556,0.015603345005843405,0.0020548408188827442,0.00019012052573567359,PINHEIROS
25615121,299278929,0,106.08099999999999,0,4,23.78191161356629,0.042040121349363434,0.0004557329627147254,0.0002753880320046065,0.00019475361181604274,PINHEIROS
25615121,2830306128,0,95.39599999999999,0,4,23.51120246659815,0.042524173383924044,0.00897347368946547,0.00011995562947752165,0.00019905028328532487,PINHEIROS
25615121,2830306119,0,179.95000000000002,0,4,23.859198355601233,0.04190394141718717,0.008931157021554005,0.00016520074212518455,0.00019394069138218894,PINHEIROS
25615393,299278929,0,91.521,0,5,24.263514902363823,0.041205672557225397,0.002336972111755785,0.0005655167777522859,0.00023059376200029041,PINHEIROS
25615393,25615502,0,61.983999999999995,0,5,23.872764645426518,0.04188012846453879,0.0024469564467883504,0.0004737070352888112,0.00023171783227219787,PINHEIROS
