u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
587972,6076848285,0,196.03199999999998,0,4,31.153536329950057,0.03209391322335419,0.01737465114980266,5.228831977171332e-06,0.00015972735727416606,SANTANA
587972,148523921,0,86.855,0,4,31.067826647333657,0.03218245366577127,0.019479654042541424,5.3641414768572856e-06,0.00015853357656318704,SANTANA
587972,1709028277,0,90.405,0,4,30.496052843563717,0.03278584598154145,0.037151007470152195,2.1320560120989313e-05,0.00015720743366071246,SANTANA
587976,163215426,0,174.24900000000002,0,4,31.03802158852908,0.032213357694923,0.0010370482027335433,0.0001579462625530386,0.0001472192538908058,SANTANA
587976,1709028277,0,65.25399999999999,0,4,30.383760270662155,0.032907016204292865,0.0010305415738342425,4.988925666998343e-05,0.00015410814335710125,SANTANA
587976,5268148599,0,123.94800000000001,0,4,30.9197680038666,0.03233655865234813,0.001658756594061725,4.3093977516181276e-05,0.00015314639756565387,SANTANA
587983,5268148599,0,146.732,0,4,31.431448364749475,0.03181014377610907,0.056525687899784904,1.2928565365359484e-05,0.0001540473172783583,SANTANA
587983,148523925,0,57.69,0,4,31.96213951989689,0.03128197631925157,0.00016114750907268068,3.482959042339671e-06,0.00015353487109443528,SANTANA
587983,8003522033,0,100.91300000000001,0,4,31.801192202352183,0.031440295860985866,0.0560697901015739,3.261121493855738e-06,0.0001534673066980024,SANTANA
25783236,2348891044,0,180.495,0,4,33.35588851296923,0.029974884080370943,5.129392448948719e-05,1.3918078873338286e-09,0.0001731572409635015,SANTANA
25783236,2487452047,0,311.849,0,4,33.82181408087643,0.02956195339443248,0.00044548719197212125,2.4361875098831073e-09,0.0001698157099028203,SANTANA
25783239,4377376400,0,108.217,0,4,33.72063798936684,0.02965065168367542,0.007444559455134896,2.829583295777272e-08,0.00016855746675732597,SANTANA
25783239,2487452047,0,182.037,0,4,33.653939101014984,0.029709416439274258,0.0015489030094785316,8.314378561256396e-09,0.00016613855375317347,SANTANA
25783239,2388985818,0,90.977,0,4,33.68728854519092,0.029680004973768156,0.0076891002579336145,1.2981873697193667e-08,0.00016478756931657295,SANTANA
25783434,25876382,0,192.44300000000004,0,4,33.63734493314001,0.029724072858942366,0.003941173568121422,7.321445350441979e-08,0.0001583244960294797,SANTANA
25783434,25783456,0,152.312,0,4,33.52682455292412,0.02982205755858934,0.003253531337280327,9.898627071891087e-08,0.00015736543863090563,SANTANA
25783434,7935675050,0,177.449,0,4,33.840180441437084,0.029545908991363796,0.00685852907893788,9.973600428621687e-08,0.00015995437918582976,SANTANA
25783456,4243011547,0,301.745,0,4,32.88931851135814,0.030400109726467592,0.004985704394089161,1.9325451940885862e-07,0.00015433307958359765,SANTANA
25783456,7812788554,0,294.235,0,4,33.10214274206541,0.03020465772759351,0.0021071717690385318,1.946801136890771e-07,0.00015429119403799705,SANTANA
25783549,1964865137,0,91.41499999999998,0,5,34.78057032382794,0.028747052801749096,0.0005438457321665502,2.969603469338755e-11,0.00016128996186051317,SANTANA
25783549,2400700118,0,86.672,0,4,34.54196874496536,0.028945625507224747,0.0076643750681162715,4.1791379220926144e-11,0.0001428525927142809,SANTANA
25876382,25876617,0,238.917,0,4,33.88045754792976,0.029510784798569636,0.06070489564180574,4.7223883681414626e-08,0.00015823833365635433,SANTANA
25876382,7812788554,0,164.109,0,4,33.220235218301916,0.030097285133706436,0.05768028919796581,1.6890829647502834e-07,0.00015525025143657111,SANTANA
25876404,8003522033,0,425.093,22,4,32.27066215563074,0.030982905982905984,0.014902023724253406,8.611430934610457e-07,0.0001549482525195253,SANTANA
26359148,7812788554,0,23.879,0,5,32.458997905590465,0.030803134911377702,0.06013599938837688,6.419652389331351e-07,0.00018274468737120765,SANTANA
26359148,8003522033,0,21.799,0,5,32.27597873368777,0.03097780240295103,0.04880481360405971,1.2057983725845933e-06,0.00018257605014186142,SANTANA
26359148,148523925,0,97.446,0,5,31.841791525696795,0.031400208457716475,0.019519778254087114,1.4276359210633196e-06,0.0001826491992777077,SANTANA
26359148,4243011547,0,731.6750000000001,0,5,32.26389560173997,0.030989403880916,0.0,6.405396446471183e-07,0.00018278657291680828,SANTANA
60642059,4917024461,0,97.121,0,4,34.25229579507008,0.029190419747511805,0.005345195640775525,1.7288918667400076e-06,0.00017057986621105985,SANTANA
