u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
597447,25778775,0,849.6529999999999,0,4,18.955565236331953,0.05274346452168917,0.00954554062699936,-1.871271943806923e-17,0.00021830999033935216,TATUAPE
597447,1432170576,0,901.369,0,4,18.87453713787846,0.05296989140595248,0.000799488163787588,1.2578433640139926e-17,0.0002190581392302924,TATUAPE
597447,2350165187,0,249.026,0,4,19.233935961664127,0.05198011392591418,0.009368240563019834,-6.103546760650952e-18,0.00021584577729317334,TATUAPE
25778534,2350165185,0,435.05899999999997,0,4,20.10128512306687,0.04973722706832096,2.252079334612924e-06,3.581092342426268e-17,0.0002231508478582467,TATUAPE
25778718,433999542,0,200.515,0,5,20.63341319973862,0.04845452242209273,0.002884094689699296,4.1605007536334706e-18,0.00023087928518881427,TATUAPE
25778718,25778766,0,448.91200000000003,0,4,20.727510346329776,0.04823455233291299,0.006548637236084453,5.2919859373519425e-18,0.00019878999986203664,TATUAPE
25778718,2350165187,0,271.177,0,4,19.934001306904815,0.05015461608225794,0.00907792706333973,-4.378563804428295e-18,0.00020631783583389013,TATUAPE
25778766,26128865,0,173.84100000000004,0,5,21.581137007187976,0.046326668617971516,0.0036690467050543825,-9.886348243938856e-18,0.00025044781239964533,TATUAPE
25778766,433999500,0,75.149,0,5,21.642561533434982,0.04619518724650517,0.0033228406909788866,1.0751712271299095e-17,0.00023973083466416592,TATUAPE
25778775,2350165221,0,471.01099999999997,0,4,19.102156392942714,0.05233870783826313,0.004224900831733845,-1.5584484981578094e-17,0.00022047104010940454,TATUAPE
25778775,25781788,0,279.877,0,4,19.42213025484644,0.05147644307871746,0.005442456813819578,-4.023401112541218e-17,0.0002185429273421762,TATUAPE
25781742,25781744,0,174.631,0,4,20.187976475713352,0.049523645112911754,0.021755598208573257,-1.254028475139249e-17,0.0002137486849894749,TATUAPE
25781744,25781788,0,128.037,0,4,19.91352646482248,0.050206184439364275,0.0031234293026231605,-2.97139651946717e-17,0.00021672552135149152,TATUAPE
25781744,25781795,0,228.50100000000003,0,4,20.513613591810063,0.04873749707999745,0.020757722328854766,-2.98762813354082e-17,0.00021498810883697708,TATUAPE
25781788,6133769672,0,271.067,0,4,20.162274014375953,0.049586776859504134,0.0033858989123480487,-3.15355084116183e-17,0.0002195629550911672,TATUAPE
25781795,2111312288,0,129.728,0,4,21.07340448703986,0.04744284119568363,0.013331285988483686,-1.6568028083731418e-17,0.00021836855887189042,TATUAPE
25781795,2061754864,0,135.755,1,4,21.171204530603354,0.04722367974320195,0.03413384516954575,-4.193336874496231e-17,0.0002101682199576215,TATUAPE
26128626,26128891,0,761.9649999999999,0,2,23.391200174253974,0.0427418078201678,0.0006397952655150352,5.910532934993718e-18,0.00014229913804231513,TATUAPE
26128865,26128891,0,21.922,0,5,22.391853626660858,0.04464937111506698,0.0019181573896353166,-1.17465982216654e-17,0.00028366718683705156,TATUAPE
26128865,433999451,0,43.738,0,5,22.377913308647354,0.04467718543465353,0.022811311580294306,-9.464523172257358e-18,0.0002544818160751202,TATUAPE
26128865,437498451,0,105.197,0,5,22.166412546286214,0.04510347267260185,0.02153233525271913,-2.05461834806389e-17,0.0002537261347285283,TATUAPE
26128891,2444895204,0,350.594,0,2,23.391200174253974,0.0427418078201678,0.0006397952655150352,4.818871124107791e-18,0.00014229913804231513,TATUAPE
129958216,7949811483,0,7.56,0,4,20.63515573949031,0.04845043067049485,0.02305289827255278,9.485332597652119e-14,0.00019887470574421863,TATUAPE
129958216,129959873,0,78.65100000000001,0,4,19.94815944238728,0.05011901902120504,0.02293497120921305,1.0755765585242902e-13,0.00019764427435808299,TATUAPE
129958216,129958525,0,270.635,0,5,20.06686996297103,0.04982252759777264,0.0004080358285348688,2.6025326137088765e-13,0.00023285570811629983,TATUAPE
129958217,2524219180,0,99.851,0,4,21.659769113482902,0.04615848753016895,0.022579552143314138,1.4731146094603645e-13,0.0002010706429223458,TATUAPE
129958217,181845943,0,75.573,0,5,21.675451971248094,0.04612509044135381,0.002946129238643634,1.5474147420293158e-13,0.00024076867460072802,TATUAPE
129958217,462742752,0,98.246,0,4,21.78000435634938,0.045903672293783504,0.019540678182981445,5.029177696798782e-13,0.0002009794746098865,TATUAPE
129958220,462742752,0,97.08,0,4,22.00675234153779,0.04543070086011501,0.021137197696737043,2.0114011732210713e-12,0.00019528713182391988,TATUAPE
129958220,181846274,0,77.216,0,5,21.95469396645611,0.04553842490624442,0.001465284708893154,2.3624316013229996e-12,0.00023053386428930072,TATUAPE
