u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Eigenvector,Pagerank,district
81328374,12073259605,0,290.75100000000003,0,4,23.675961132234896,0.042228011634339147,0.03800847338242858,1.7162436625107701e-06,0.00019872140341302218,VILA PRUDENTE
81328374,1418186235,0,267.19100000000003,0,4,23.473384030418252,0.042592442608640875,0.015259779854935332,6.998609245861544e-06,0.0002032097729167056,VILA PRUDENTE
81329550,1970921017,0,414.42199999999997,0,4,23.74081115335868,0.042112662271218716,0.000618403498925763,0.00010884600612401057,0.0002009601248606921,VILA PRUDENTE
81329550,81329602,0,332.92600000000004,0,4,23.361216730038024,0.042796947337962965,0.033815997915484584,0.0004574305779842869,0.00020011314355677403,VILA PRUDENTE
81329550,2072112860,0,302.19100000000003,0,4,23.677651035065484,0.042224997769649386,0.03342422582853627,0.00011051825971308967,0.00019666652617273732,VILA PRUDENTE
81329588,1785438866,0,448.228,0,5,23.030207013096746,0.043412061453795,0.019341201816917605,0.0018396892231678516,0.00024649069038950184,VILA PRUDENTE
81329588,1819619960,0,77.225,0,5,23.5135192226447,0.04251974162945927,0.018727168479066723,0.0018633216532352574,0.00024511934218408155,VILA PRUDENTE
81329588,81329602,0,64.724,1,5,23.156104773975496,0.04317603378914624,0.04042450407926259,0.0018638542151715428,0.00023873268990833743,VILA PRUDENTE
81329602,830531533,0,53.836999999999996,0,4,23.689691592733418,0.04220353642986437,0.041995911174471025,0.0005344932029156562,0.00020565502125822026,VILA PRUDENTE
81329691,833537918,0,35.033,0,4,26.79890156316012,0.03730707991108729,0.017474474660366505,3.347369463391036e-08,0.00019489926763537432,VILA PRUDENTE
81329691,833537716,0,48.386,0,5,26.973806506125896,0.03706517142543894,0.018001567499657072,2.1411264384416437e-08,0.0002310577637873171,VILA PRUDENTE
81329691,661583533,0,77.467,0,4,26.796155471060413,0.037310903171387355,0.03517989948012564,1.1643326997225623e-08,0.00018845336280044072,VILA PRUDENTE
81329716,5825605761,0,96.18299999999999,0,4,25.059357836924377,0.039896822921496065,0.006360486669363485,1.6380361392350676e-07,0.0002039744622372798,VILA PRUDENTE
81329716,2378340309,0,208.92200000000003,0,4,24.422264469792985,0.040937594602776455,0.021897694632064316,4.416292679016732e-07,0.00020351321206620295,VILA PRUDENTE
81329716,601487207,0,92.59,0,4,24.70595690747782,0.040467518254416114,0.028186613487119132,2.252890089412995e-07,0.00020101167506388935,VILA PRUDENTE
138112417,1265860352,0,39.967,0,4,24.869455006337137,0.04020147453538545,0.03401157547700051,1.561817122912309e-13,0.00021143851797786746,VILA PRUDENTE
138112417,138112418,0,70.14999999999999,0,4,24.75749894381073,0.0403832699100698,0.035113884341065056,1.526328777591453e-13,0.00021005531385349935,VILA PRUDENTE
138112417,4525216540,0,34.013,0,4,24.34790874524715,0.041062613327780814,0.06289905997321144,6.294926660841312e-13,0.000208401897499446,VILA PRUDENTE
138112418,2394594070,0,212.95899999999997,0,4,24.974651457541192,0.04003214074262031,0.029918842509883248,4.035582745000463e-14,0.00020615036187886587,VILA PRUDENTE
138112418,470096027,0,67.286,0,4,25.05830164765526,0.03989850454369194,0.004868050955461169,4.739194344607829e-14,0.00020974111798097226,VILA PRUDENTE
252018671,470008674,0,117.559,0,5,24.159484579636672,0.041382868034729084,0.04506407273099695,1.1231635470672899e-07,0.0002156741749970465,VILA PRUDENTE
252018671,470008264,0,55.821,0,5,24.530207013096746,0.04075745311127568,0.019061511508125108,5.649659420831791e-08,0.00021858524451521153,VILA PRUDENTE
252018671,252018917,0,29.447999999999997,0,6,24.252217997465145,0.0412246320006968,0.03656580609112022,1.1195372217553082e-07,0.0002459928011877783,VILA PRUDENTE
252018671,8976944504,0,97.07100000000001,0,5,24.601605407689057,0.0406391674680588,0.017834781587575663,5.80659184396797e-08,0.00021623437073188347,VILA PRUDENTE
